INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
5231	Ущелье костяной челюсти	Скалистые ущелья врезаются в лесные массивы, обнажая входы в протянувшуюся глубоко под землей систему подземных пещер.	Рекомендованный уровень: 6				Тень Мороко	Дух повелителя волков Мороко был жестоко осквернен магией культа Призрачного когтя. Убейте главу культа и уничтожьте дух Мороко. После этого Дайсукэ проведет ритуал очищения Мороко.	Великий покровитель охотников, Мороко, снова покоится с миром. Вы прекрасно выполнили свой долг.	4	This mission is curently on cooldown	Blast enchanted enemies are known to to patrol this Area	Element_Explo	Pelt, Metal and Timber are known to orinigate from this Area	M_Pelt	Area Boss: Moroko is reported to drop high quality materials	2	8	9	10	11	L2_4	0
5311	Кладбище кровавых корней	Скрюченные корни сдавливают в своих объятиях кучки заброшенных могил и битых погодой обелисков.	Рекомендованный уровень: 8	[414141]Разблокировать Кладбище кровавых корней:	[ffffff]Получить доступ к 3 новым миссиям и поднять макс. уровень героя до 12.	[414141]Пройдите Ущелье костяной челюсти, чтобы получить доступ к этому району.	Прополка окраин	Лес пробудился. Кровожадные деревья Дзиммэндзу убивают и пожирают всех, кто идет по Храмовой дороге. Убейте как можно больше Дзиммэндзу и уничтожьте Колдовское Древо.	Теперь, когда Колдовское Древо пало, лес почти перестал разрастаться. Мы должны двигаться дальше.	8	This mission is curently on cooldown	Storm enchanted enemies are known to to patrol this Area	Element_Elec	Cloth, Teeth and Vine are known to orinigate from this Area	M_Cloth		9999	9	10	11	12	L3_1	0
5321	Кладбище кровавых корней	Скрюченные корни сдавливают в своих объятиях кучки заброшенных могил и битых погодой обелисков.	Рекомендованный уровень: 9				Грабители могил	Воры йокай оскверняют могилы наших почтенных предков. Когда вы будете идти через катакомбы, сделайте все, чтобы прекратить это.	Усыпальницы в безопасности. Пресечь осквернение могил - достойный поступок.	8	This mission is curently on cooldown	Storm enchanted enemies are known to to patrol this Area	Element_Elec	Cloth, Teeth and Vine are known to orinigate from this Area	M_Cloth		9999	10	11	12	13	L3_2	0
5341	Кладбище кровавых корней	Скрюченные корни сдавливают в своих объятиях кучки заброшенных могил и битых погодой обелисков.	11	[414141]Unlock Bloodroot Cemetery To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 12.	[414141]Complete Jawbone Ravine to reach this area.	Without a Head	With their leaders gone, a faction of the Bloodroot thieves are running rampant amongst the nearby villages. Rescue the survivors and destroy all that oppose. 	You have rescued the locals, but they've seen something that keeps them in shock… A walkting tree with the skeleton of a monster. 	8	This mission is curently on cooldown	Storm enchanted enemies are known to to patrol this Area	Element_Elec	Cloth, Teeth and Vine are known to orinigate from this Area	M_Cloth		9999	11	12	13	14	L3_3	0
5331	Кладбище кровавых корней	Скрюченные корни сдавливают в своих объятиях кучки заброшенных могил и битых погодой обелисков.	Рекомендованный уровень: 10				Гасадокуро!	Огромный скелет древнего полководца Они поднялся из могилы и слился воедино с дьявольским деревом Дзиммэндзу. Победите это чудовище и предайте земле то, что от него останется.	Гасадокуро вернулся в землю, и Дзиммэндзу снова погрузились в спячку.	8	This mission is curently on cooldown	Storm enchanted enemies are known to to patrol this Area	Element_Elec	Cloth, Teeth and Vine are known to orinigate from this Area	M_Cloth	Area Boss: Gashadokuro is reported to drop high quality materials	3	12	13	14	15	L3_4	0
5411	Крепость Кровавого клыка	Развалины давным-давно заброшенного храма стали лагерем для клана оборотней Кровавый клык. Здесь собирается крупная армия йокай.	Рекомендованный уровень: 12	[414141]Разблокировать Крепость Кровавого клыка:	[ffffff]Получить доступ к 3 новым миссиям и поднять макс. уровень героя до 16.	[414141]Пройдите Кладбище кровавых корней, чтобы получить доступ к этому району.	Ниже и ниже	Клан Кровавого клыка оккупировал развалины храма. В подвал храма ведет тайный ход; расчистите путь ко входу в подвал и возвращайтесь ко мне за дальнейшими указаниями.	Путь в храм открыт! Я советую вам отдохнуть перед тем, начинать исследовать подземелья храма.	12	This mission is curently on cooldown	Flame enchanted enemies are known to to patrol this Area	Element_Fire	Resin, Flux and Leather are known to orinigate from this Area	M_Resin		9999	13	14	15	16	L4_1	0
5421	Крепость Кровавого клыка	Развалины давным-давно заброшенного храма стали лагерем для клана оборотней Кровавый клык. Здесь собирается крупная армия йокай.	Рекомендованный уровень: 13				Не заблудись	Подвал храма - лабиринт извилистых корридоров и тупиков. Берегитесь, в прилегающих пещерах затаилось страшное чудовище... Зачистите лестницу, ведущую в храм, и доложите мне о результатах.	Прекрасно - вы вернулись в целости и сохранности. Теперь мы можем вместе бросить вызов вожаку Кровавого клыка!	12	This mission is curently on cooldown	Flame enchanted enemies are known to to patrol this Area	Element_Fire	Resin, Flux and Leather are known to orinigate from this Area	M_Resin		9999	14	15	16	17	L4_2	0
5441	Крепость Кровавого клыка	Развалины давным-давно заброшенного храма стали лагерем для клана оборотней Кровавый клык. Здесь собирается крупная армия йокай.	15	[414141]Unlock Bloodfang Fort To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 16.	[414141]Complete Bloodroot Cemetery to reach this area.	Secret Entrance	The Grand Hexer is using his magic to block the entrance to the south wing where Chief Bloodfang resides. Put an end to his evil ways. 	You have cleared the path to Bloodfang, nothing will get in your way. 	12	This mission is curently on cooldown	Flame enchanted enemies are known to to patrol this Area	Element_Fire	Resin, Flux and Leather are known to orinigate from this Area	M_Resin		9999	15	16	17	18	L4_3	0
5431	Крепость Кровавого клыка	Развалины давным-давно заброшенного храма стали лагерем для клана оборотней Кровавый клык. Здесь собирается крупная армия йокай.	Рекомендованный уровень: 14				Серый волк и Красный охотник	Поднимитесь на самый верхний этаж храма, где ждет расплаты вожак Кровавого Клыка. Я пойду с вами - вместе мы отрубим монстру голову!	Вожак Кровавого клыка пал, его клан обречен. Но мы не можем почивать на лаврах - острову грозят новые опасности.	12	This mission is curently on cooldown	Flame enchanted enemies are known to to patrol this Area	Element_Fire	Resin, Flux and Leather are known to orinigate from this Area	M_Resin	Area Boss: BloodFang is reported to drop high quality materials	4	16	17	18	19	L4_4	0
5511	Трепещущие сосны	Потусторонний холод воцарился в этом древнем сосновом лесу, проморозив до дна ближайшее озеро.	Рекомендованный уровень: 16	[414141]Разблокировать Трепещущие сосны:	[ffffff]Получить доступ к 3 новым миссиям и поднять макс. уровень героя до 20.	[414141]Пройдите Крепость Кровавого клыка, чтобы получить доступ к этому району.	Ранние заморозки	Лес Йоми сковал сверхъестественный холод. Люди видели странных ведьм, возводящих меркие алтари. Уничтожьте святилища йокай и убейте бесовских ведьм.	Холод спал, но не ушел полностью. Где-то должен быть главный его источник. Будем начеку!	16	This mission is curently on cooldown	Frost enchanted enemies are known to to patrol this Area	Element_Ice	Ruby, Emerald and Sapphire are known to orinigate from this Area	G_Ruby		0	17	18	19	20	L5_1	0
5521	Трепещущие сосны	Потусторонний холод воцарился в этом древнем сосновом лесу, проморозив до дна ближайшее озеро.	Рекомендованный уровень: 17				Зима надвигается	Местные рыбаки сообщают, что видели снежных людей на заледенелом берегу реки. Кажется, они собираются для нападения на окрестные святилища, которые защищают деревню Йоми. Защищайте святилища любой ценой.	Святилища продолжают защищать Йоми от ненастной зимы. Отличная работа!	16	This mission is curently on cooldown	Frost enchanted enemies are known to to patrol this Area	Element_Ice	Ruby, Emerald and Sapphire are known to orinigate from this Area	G_Ruby		0	18	19	20	21	L5_2	0
5541	Трепещущие сосны	Потусторонний холод воцарился в этом древнем сосновом лесу, проморозив до дна ближайшее озеро.								0	This mission is curently on cooldown	Frost enchanted enemies are known to to patrol this Area	Element_Ice	Ruby, Emerald and Sapphire are known to orinigate from this Area	G_Ruby		0	19	20	21	22		
5531	Трепещущие сосны	Потусторонний холод воцарился в этом древнем сосновом лесу, проморозив до дна ближайшее озеро.	Рекомендованный уровень: 18				Сердце зимы	Проклятие зимы все еще в силе. Мы нашли источник темной энергии - он находится в небольшой роще в самой чаще леса. Ступайте туда и уничтожьте источник. Go there and destroy the source. Покончите с этим лютым морозом.	Defeating such power is a mighty feat, Hunter. I am awed! The Winter Curse has been ended.	16	This mission is curently on cooldown	Frost enchanted enemies are known to to patrol this Area	Element_Ice	Ruby, Emerald and Sapphire are known to orinigate from this Area	G_Ruby	Area Boss: The Winter Banshee is reported to drop high quality materials	5	20	21	22	23	L5_3	0
5611	Пещеры Юрей	Подземные воды постепенно выточили в камне эту огромную систему пещер. Здесь обосновалось немало мерзких тварей.	Рекомендованный уровень: 20	[414141]Разблокировать Пещеры Юрей:	[ffffff]Получить доступ к 3 новым миссиям и поднять макс. уровень героя до 24.	[414141]Пройдите Трепещущие сосны, чтобы получить доступ к этому району.	Похитители!	Духи леса издавна помогали нам против более темных сил йокай. Встретьтесь с вождем Покку, он уверен, что его подданных похищают с какой-то зловещей целью. Помогите ему выследить преступников.	Очень удачно, что вам удалось разоблачить козни Призрачного когтя. Мы не можем так этого оставить! 	20	This mission is curently on cooldown	Blast enchanted enemies are known to to patrol this Area	Element_Explo	Garnet, Amethyst and Malachite are known to orinigate from this Area	G_Garnet		0	21	22	23	24	L6_1	0
5621	Пещеры Юрей	Подземные воды постепенно выточили в камне эту огромную систему пещер. Здесь обосновалось немало мерзких тварей.	Рекомендованный уровень: 21				Не6ольшая проблема	Группа уцелевших культистов Призрачного когтя похищает духов леса. Вождь Покку снова просит вас о помощи. Осмотрите стоянку Призрачного когтя и освободите пленных духов леса.	Вождь очень доволен тем, что его подданные были спасены, но он опасается, что многим из них еще грозит опасность. 	20	This mission is curently on cooldown	Blast enchanted enemies are known to to patrol this Area	Element_Explo	Garnet, Amethyst and Malachite are known to orinigate from this Area	G_Garnet		0	22	23	24	25	L6_2	0
5641	Пещеры Юрей	Подземные воды постепенно выточили в камне эту огромную систему пещер. Здесь обосновалось немало мерзких тварей.								0	This mission is curently on cooldown	Blast enchanted enemies are known to to patrol this Area	Element_Explo	Garnet, Amethyst and Malachite are known to orinigate from this Area	G_Garnet		0	23	24	25	26		
5631	Пещеры Юрей	Подземные воды постепенно выточили в камне эту огромную систему пещер. Здесь обосновалось немало мерзких тварей.	Рекомендованный уровень: 22				Восставший из могилы	Призрачные когти отступили глубже в свои пещеры; преследуйте их и убейте их нового главаря. Вождь Покку поможет вам.	Вы прославили Орден, оказав помощь нашим союзникам и сорвав восхождение нового Короля демонов.  	20	This mission is curently on cooldown	Blast enchanted enemies are known to to patrol this Area	Element_Explo	Garnet, Amethyst and Malachite are known to orinigate from this Area	G_Garnet	Area Boss: Algernon is reported to drop high quality materials	6	24	25	26	27	L6_3	0
5711	Арбузные поля	На прибрежном краю леса живет небольшая сельская община, часто подвергающаяся набегам йокай.	Рекомендованный уровень: 24	[414141] 	[ffffff]Скоро выйдет!	[414141]Пройдите Пещеры Юрей, чтобы получить доступ к этому району.	Странные всходы	К нам поступили любопытные сообщения от местных фермерв. Они говорят, что их арбузы стали несколько... враждебными. Ступайте на фермы рядом с кладбищем и соберите урожай!	Одержимые ягоды! Отродясь такого не видел. Это, должно быть, какие-то новые козни йокай...	24	This mission is curently on cooldown	Storm enchanted enemies are known to to patrol this Area	Element_Elec	Obsidian and Jade are known to orinigate from this Area	G_Obsidian		0	25	26	27	28	L7_1	0
5721	Арбузные поля	На прибрежном краю леса живет небольшая сельская община, часто подвергающаяся набегам йокай.	Рекомендованный уровень: 25	[414141]Разблокировать Арбузные поля:	[ffffff]Получить доступ к 3 новым миссиям и поднять макс. уровень героя до 28.		Кладбище старых костей	Йокайский клан Сломанных костей поднял армию древних воинов-скелетов из склепов за Кладбищем старых костей. Атакуйте их и замедлите их продвижение, пока мы будем искать нового Короля демонов.	Как эти Сломанные кости посмели так осквернить останки наших предков! Мы покараем этих чудовищ.	24	This mission is curently on cooldown	Storm enchanted enemies are known to to patrol this Area	Element_Elec	Obsidian and Jade are known to orinigate from this Area	G_Obsidian		0	26	27	28	29	L7_2	0
5741	Арбузные поля	На прибрежном краю леса живет небольшая сельская община, часто подвергающаяся набегам йокай.								0	This mission is curently on cooldown	Storm enchanted enemies are known to to patrol this Area	Element_Elec	Obsidian and Jade are known to orinigate from this Area	G_Obsidian		0	27	28	29	30		
5731	Арбузные поля	На прибрежном краю леса живет небольшая сельская община, часто подвергающаяся набегам йокай.	Рекомендованный уровень: 26				Что посеешь, то пожнешь	Ближайшая деревня боится нападения одержимых растений. Помогите им по мере сил; будем надеяться, вы сможете остановить это странное вторжение.	Клан Сломанных костей в панике разбежался, когда вы убили их Короля демонов. Вскоре они сами лягут в могилы, которые оскверняли. 	24	This mission is curently on cooldown	Storm enchanted enemies are known to to patrol this Area	Element_Elec	Obsidian and Jade are known to orinigate from this Area	G_Obsidian	Area Boss: Futakuchi is reported to drop high quality materials	7	28	29	30	31	L7_3	0
5811	Подземелья храма	Катакомбы, протянувшиеся под храмом, соединяются с серией пещер. Ходят слухи, что некоторые из них уходят совсем далеко под землю.	Рекомендованный уровень: 28	[414141] 	[ffffff]Скоро выйдет!	[414141]Пройдите Арбузные поля, чтобы получить доступ к этому району.	Тук-тук	В храме новые непрошенные гости... Племя Маглотов. Эти жители глубоких пещер редко появляются в наших краях, да еще в таких количествах. Нанесите удар быстро и мощно - надо выманить их лидеров!	Отличная работа. Я уверен, они не скоро забудут этот урок! Посмотрим, не удалось ли нам вспугнуть их вожаков. 	28	This mission is curently on cooldown	Flame enchanted enemies are known to to patrol this Area	Element_Fire	Element Cores are known to orinigate from this Area	Element_Karma		0	29	30	31	32	L8_1	0
5821	Подземелья храма	Катакомбы, протянувшиеся под храмом, соединяются с серией пещер. Ходят слухи, что некоторые из них уходят совсем далеко под землю.	Рекомендованный уровень: 29	[414141]Разблокировать Подземелья храма:	[ffffff]Получить доступ к 3 новым миссиям и поднять макс. уровень героя до 32.		Пропавший без вести	Охотник Джуд не явился вовремя с докладом. Ступайте туда, где его видели в послений раз - в подземелья под храмом. В них можно попасть через туннели маглотов. Если получится, спасите Джуда.	Спасибо, что отыскали Джуда. Мы вернули его в ложу Аканэ и перевязали его раны. 	28	This mission is curently on cooldown	Flame enchanted enemies are known to to patrol this Area	Element_Fire	Element Cores are known to orinigate from this Area	Element_Karma		0	30	31	32	33	L8_2	0
5841	Подземелья храма	Катакомбы, протянувшиеся под храмом, соединяются с серией пещер. Ходят слухи, что некоторые из них уходят совсем далеко под землю.								0	This mission is curently on cooldown	Flame enchanted enemies are known to to patrol this Area	Element_Fire	Element Cores are known to orinigate from this Area	Element_Karma		0	31	32	33	34		
5831	Подземелья храма	Катакомбы, протянувшиеся под храмом, соединяются с серией пещер. Ходят слухи, что некоторые из них уходят совсем далеко под землю.	Рекомендованный уровень: 30				Что ждет внизу	К храмовым катакомбам примыкает крупный комплекс туннелей Маглотов. Если мы перекроем эти туннели, вторжения должны прекратиться. 	Мы отразили нападение Маглотов, но они еще не побеждены. В следующий раз надо попытаться нанести ответный удар по их территории. 	28	This mission is curently on cooldown	Flame enchanted enemies are known to to patrol this Area	Element_Fire	Element Cores are known to orinigate from this Area	Element_Karma	Area Boss: Maglord Obe is reported to drop high quality materials	8	32	33	34	35	L8_3	0
