INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
10405	Алчущий взмах V	0	0	-1	300	133	0	0	500	500	1	0	1	1	21	0.01	4	2	2	0	4	780	1	20500	0	40405	0	0	Могучий взмах, наносящий урон нескольким противникам и крадущий их жизненную силу.	Лечит на 95% oт нанесенного урона. Дистанция 4 метра.	0	0	0	Голод	Бонус к лечению.	Обжорство	Урон и дистанция увеличены.	Эффект "обжорство".	Алчущий взмах	3
10406	Алчущий взмах VI	0	0	-1	300	133	0	0	500	500	1	0	1	1	30	0.01	4	2	2	0	4	900	1	32500	0	40406	0	0	Могучий взмах, наносящий урон нескольким противникам и крадущий их жизненную силу.	Лечит на 95% oт нанесенного урона. Дистанция 4 метра.	0	0	0	Голод	Бонус к лечению.	Обжорство	Урон и дистанция увеличены.	Увеличен урон.	Алчущий взмах	3
10501	Град ударов I	0	0	-1	300	0	0	0	500	500	3	150	1	1	5	0.007	4	2	5	0	4	30	1	900	0	0	0	0	Стремительный натиск, наносящий урон нескольким противникам.	Наносит урон всем врагам в пределах досягаемости.	0	0	0						Град ударов	4
10502	Град ударов II	0	0	-1	300	0	0	0	500	500	3	150	1	1	8	0.007	4	2	5	0	4	210	1	1600	0	0	0	0	Стремительный натиск, наносящий урон нескольким противникам.	Наносит урон всем врагам в пределах досягаемости.	0	0	0					Увеличен урон.	Град ударов	4
10503	Град ударов III	0	0	-1	400	0	0	0	500	500	3	150	1	1	8	0.008	4	2	5	0	4	390	1	2700	0	0	40501	0	Стремительный натиск, наносящий урон и оглушающий нескольких противников.	Наносит урон всем врагам в пределах досягаемости, оглушает на 2.5 с.	0	0	0	Сотрясение	Оглушает врагов.			Эффект "сотрясение".	Град ударов	4
10504	Град ударов IV	0	0	-1	400	0	0	0	500	500	3	150	1	1	14	0.008	4	2	5	0	4	570	1	12500	0	0	40501	0	Стремительный натиск, наносящий урон и оглушающий нескольких противников.	Наносит урон всем врагам в пределах досягаемости, оглушает на 2.5 с.	0	0	0	Сотрясение	Оглушает врагов.			Увеличен урон.	Град ударов	4
10505	Град ударов V	0	0	-1	400	0	0	0	500	500	3	150	1	1	14	0.008	4	2	5	0	4	750	1	22000	0	0	40502+40501	0	Стремительный натиск, наносящий урон, оглушающий и обжигающий нескольких противников.	Наносит урон всем врагам в пределах досягаемости, оглушает на 2.5 с., поджигает на 3 с.	0	0	0	Сотрясение	Оглушает врагов.	Язык пламени	Враги загораются на 3 с.	Эффект "язык пламени".	Град ударов	4
10506	Град ударов VI	0	0	-1	400	0	0	0	500	500	3	150	1	1	20	0.009	4	2	5	0	4	870	1	36000	0	0	40502+40501	0	Стремительный натиск, наносящий урон, оглушающий и обжигающий нескольких противников.	Наносит урон всем врагам в пределах досягаемости, оглушает на 2.5 с., поджигает на 3 с.	0	0	0	Сотрясение	Оглушает врагов.	Язык пламени	Враги загораются на 3 с.	Увеличен урон.	Град ударов	4
10601	Ударная волна I	0	0	-1	300	333	0	0	500	1000	1	0	1	1	20	0.004	4	1	1	0	5	60	1	1300	0	0	40601	0	Могучий удар по земле создает ударную волну.	Круговая атака, наносящая урон и отбрасывающая врагов. Дистанция 5 метров.	0	0	0						Ударная волна	5
10602	Ударная волна II	0	0	-1	300	333	0	0	500	1000	1	0	1	1	23	0.004	4	1	1	0	5	240	1	2300	0	0	40601	0	Могучий удар по земле создает ударную волну.	Круговая атака, наносящая урон и отбрасывающая врагов. Дистанция 5 метров.	0	0	0					Увеличен урон.	Ударная волна	5
10603	Ударная волна III	0	0	-1	300	333	0	0	500	1000	1	0	1	1	23	0.004	4	1	1	0	6	420	1	4500	0	0	40601	0	Могучий удар по земле создает ударную волну.	Круговая атака, наносящая урон и отбрасывающая врагов. Дистанция 6 метров.	0	0	0	Вторая волна	Зона поражения увеличена.			Эффект "вторая волна"	Ударная волна	5
10604	Ударная волна IV	0	0	-1	300	333	0	0	500	1000	1	0	1	1	29	0.004	4	1	1	0	6	600	1	8500	0	0	40601	0	Могучий удар по земле создает ударную волну.	Круговая атака, наносящая урон и отбрасывающая врагов. Дистанция 6 метров.	0	0	0	Вторая волна	Зона поражения увеличена.			Увеличен урон.	Ударная волна	5
10605	Ударная волна V	0	0	2	300	333	0	0	500	1000	1	0	1	1	29	0.004	4	1	1	0	6	780	1	20500	0	0	40601	0	Могучий удар по земле создает взрывную волну.	Круговая атака, наносящая урон и отбрасывающая врагов. Дистанция 6 метров.	0	0	0	Вторая волна	Зона поражения увеличена.	Побочный урон	Враги получают урон от взрыва.	Эффект "побочный урон".	Ударная волна	5
10606	Ударная волна VI	0	0	2	300	333	0	0	500	1000	1	0	1	1	35	0.004	4	1	1	0	6	900	1	38500	0	0	40601	0	Могучий удар по земле создает взрывную волну.	Круговая атака, наносящая урон и отбрасывающая врагов. Дистанция 6 метров.	0	0	0	Вторая волна	Зона поражения увеличена.	Побочный урон	Враги получают урон от взрыва.	Увеличен урон.	Ударная волна	5
10701	Метеоритный дождь I	0	0	2	500	0	0	0	500	2000	1	0	1	1	0	0	4	1	1	0	10	150	1	1500	10701	0	0	0	Дождь из пылающих метеоритов сеет смерть в рядах врагов.	Наносит урон всем врагам в течение 2.1 с. Зона поражения 5.6 метров.	0	0	0						Метеоритный дождь	6
10702	Метеоритный дождь II	0	0	2	500	0	0	0	500	2000	1	0	1	1	0	0	4	1	1	0	10	330	1	2700	10702	0	0	0	Дождь из пылающих метеоритов сеет смерть в рядах врагов.	Наносит урон всем врагам в течение 2.1 с. Зона поражения 5.6 метров.	0	0	0					Увеличен урон.	Метеоритный дождь	6
10703	Метеоритный дождь III	0	0	2	600	0	0	0	500	2000	1	0	1	1	0	0	4	1	1	0	10	510	1	5000	10703	0	0	0	Дождь из пылающих метеоритов сеет смерть в рядах врагов.	Наносит урон всем врагам в течение 2.1 с. Зона поражения 5.6 метров.	0	0	0	Магмовый шторм	Длительность увеличена.			Эффект "магмовый шторм".	Метеоритный дождь	6
10704	Метеоритный дождь IV	0	0	2	600	0	0	0	500	2000	1	0	1	1	0	0	4	1	1	0	10	690	1	10300	10704	0	0	0	Дождь из пылающих метеоритов сеет смерть в рядах врагов.	Наносит урон всем врагам в течение 2.1 с. Зона поражения 5.6 метров.	0	0	0	Магмовый шторм	Длительность увеличена.			Увеличен урон.	Метеоритный дождь	6
10705	Метеоритный дождь V	0	0	2	600	0	0	0	500	2000	1	0	1	1	0	0	4	1	1	0	10	870	1	22000	10705	0	0	0	Дождь из пылающих метеоритов сеет смерть в рядах врагов.	Наносит урон всем врагам в течение 3.1 с и замедляет их на 3.1 с. Зона поражения 6.7 метров.	0	0	0	Магмовый шторм	Длительность увеличена.	Иссушающий жар	Зона поражения увеличена. Враги замедляются.	Эффект "иссушающий жар".	Метеоритный дождь	6
10706	Метеоритный дождь VI	0	0	2	600	0	0	0	500	2000	1	0	1	1	0	0	4	1	1	0	10	990	1	39500	10706	0	0	0	Дождь из пылающих метеоритов сеет смерть в рядах врагов.	Наносит урон всем врагам в течение 3.1 с и замедляет их на 4.1 с. Зона поражения 6.7 метров.	0	0	0	Магмовый шторм	Длительность увеличена.	Иссушающий жар	Зона поражения увеличена. Враги замедляются.	Длительность замедления увеличена.	Метеоритный дождь	6
10801	Каменная кожа  I	0	3	-1	400	0	0	0	0	10000	1	0	1	1	0	0	5	1	1	0	5	30	2	700	0	40801	0	0	Каменная броня увеличивает защиту. Улучшает все способности с атрибутом СТОЙКОСТЬ.	Увеличивает ЗАЩИТУ на 10 с. Повышает броню, улучшает умения с атрибутом СТОЙКОСТЬ.	0	0	0						Каменная кожа	7
10802	Каменная кожа II	0	3	-1	400	0	0	0	0	10000	1	0	1	1	0	0	5	1	1	0	5	210	2	1200	0	40802	0	0	Каменная броня увеличивает защиту. Улучшает все способности с атрибутом СТОЙКОСТЬ.	Увеличивает ЗАЩИТУ на 10 с. Повышает броню, улучшает умения с атрибутом СТОЙКОСТЬ.	0	0	0					Повышена защита.	Каменная кожа	7
10803	Каменная кожа III	0	3	-1	400	0	0	0	0	12000	1	0	1	1	0	0	5	1	1	0	5	390	2	2200	0	40803	0	0	Каменная броня увеличивает защиту и сопротивление стихиям. Улучшает все способности с атрибутом СТОЙКОСТЬ.	Увеличивает ЗАЩИТУ и сопротивление стихиям на 12 с. Повышает броню, улучшает умения с атрибутом СТОЙКОСТЬ.	0	0	0	Непоколебимость	Повышает сопротивление ко всем стихиям.			Эффект "непоколебимость".	Каменная кожа	7
10804	Каменная кожа IV	0	3	-1	400	0	0	0	0	14000	1	0	1	1	0	0	5	1	1	0	5	570	2	12500	0	40804	0	0	Каменная броня увеличивает защиту и сопротивление стихиям. Улучшает все способности с атрибутом СТОЙКОСТЬ.	Увеличивает ЗАЩИТУ и сопротивление стихиям на 14 с. Повышает броню, улучшает умения с атрибутом СТОЙКОСТЬ.	0	0	0	Непоколебимость	Повышает сопротивление ко всем стихиям.			Повышена длительность.	Каменная кожа	7
10805	Каменная кожа V	0	3	-1	400	0	0	0	0	14000	1	0	1	1	0	0	5	1	1	0	5	750	2	24000	0	40805	40815	0	Каменная броня увеличивает защиту и сопротивление стихиям. Улучшает все способности с атрибутом СТОЙКОСТЬ.	Увеличивает ЗАЩИТУ и сопротивление стихиям на 14 с. Повышает броню, улучшает умения с атрибутом СТОЙКОСТЬ. Атакующие игрока враги оглушаются с шансом 5% на 1.5 с.	0	0	0	Непоколебимость	Повышает сопротивление ко всем стихиям.	Ошеломление	Шанс оглушить нападающих.	Эффект "ошеломление".	Каменная кожа	7
10806	Каменная кожа VI	0	3	-1	400	0	0	0	0	14000	1	0	1	1	0	0	5	1	1	0	5	870	2	37000	0	40806	40816	0	Каменная броня увеличивает защиту и сопротивление стихиям. Улучшает все способности с атрибутом СТОЙКОСТЬ.	Увеличивает ЗАЩИТУ и сопротивление стихиям на 14 с. Повышает броню, улучшает умения с атрибутом СТОЙКОСТЬ. Атакующие игрока враги оглушаются с шансом 10% на 1.5 с.	0	0	0	Непоколебимость	Повышает сопротивление ко всем стихиям.	Ошеломление	Шанс оглушить нападающих.	Увеличен шанс оглушения.	Каменная кожа	7
10901	Потусторонний крик  I	0	0	-1	400	0	0	0	500	1000	1	0	1	1	0	0	5	1	1	0	6	90	2	1100	0	0	40901	0	Сверхъестественный крик обращает врагов в панику.	Обращает врагов в панику на 4 с. Дистанция 6 метров.	0	0	0						Потусторонний крик	8
10902	Потусторонний крик II	0	0	-1	400	0	0	0	500	1000	1	0	1	1	0	0	5	1	1	0	8	270	2	1800	0	0	40902	0	Сверхъестественный крик обращает врагов в панику.	Обращает врагов в панику на 4 с. Дистанция 8 метров.	0	0	0					Зона поражения увеличена.	Потусторонний крик	8
10903	Потусторонний крик III	0	0	-1	400	0	0	0	500	1000	1	0	1	1	0	0	5	1	1	0	8	450	2	3000	0	0	40903	0	Сверхъестественный крик обращает врагов в панику.	Обращает врагов в панику на 5 с. Дистанция 8 метров.	0	0	0	Пытка	Длительность паники увеличена.			Эффект "пытка".	Потусторонний крик	8
10904	Потусторонний крик IV	0	0	-1	400	0	0	0	500	1000	1	0	1	1	0	0	5	1	1	0	8	630	2	9500	0	0	40904	0	Сверхъестественный крик обращает врагов в панику.	Обращает врагов в панику на 5.5 с. Дистанция 8 метров.	0	0	0	Пытка	Длительность паники увеличена.			Длительность увеличена.	Потусторонний крик	8
10905	Потусторонний крик V	0	0	-1	400	0	0	0	500	1000	1	0	1	1	10	0.003	5	1	1	0	8	810	2	18600	0	0	40905	0	Сверхъестественный крик обращает врагов в панику. Враги получают урон.	Наносит урон и обращает врагов в панику на 5.5 с. Дистанция 8 метров.	0	0	0	Пытка	Длительность паники увеличена.	Баньши	Враги получают урон.	Эффект "баньши".	Потусторонний крик	8
10906	Потусторонний крик VI	0	0	-1	400	0	0	0	500	1000	1	0	1	1	15	0.004	5	1	1	0	8	930	2	29600	0	0	40906	0	Сверхъестественный крик обращает врагов в панику. Враги получают урон.	Наносит урон и обращает врагов в панику на 5.5 с. Дистанция 8 метров.	0	0	0	Пытка	Длительность паники увеличена.	Баньши	Враги получают урон.	Урон увеличен.	Потусторонний крик	8
11001	Железные шипы  I	0	3	-1	300	0	0	0	0	10000	1	0	1	1	0	0	5	0	0	0	5	30	2	700	0	0	41001	0	Смертоносные железные шипы пронзают атакующих врагов.	Наносит урон атакующим. Действует 10 с.	0	0	0						Железные шипы	9
11002	Железные шипы II	0	3	-1	300	0	0	0	0	10000	1	0	1	1	0	0	5	0	0	0	5	210	2	1200	0	0	41002	0	Смертоносные железные шипы пронзают атакующих врагов.	Наносит урон атакующим. Действует 10 с.	0	0	0					Урон увеличен.	Железные шипы	9
11003	Железные шипы III	0	3	-1	300	0	0	0	0	12000	1	0	1	1	0	0	5	0	0	0	5	390	2	2200	0	0	41003	0	Смертоносные железные шипы пронзают атакующих врагов.	Наносит урон атакующим. Действует 12 с.	0	0	0	Терновник	Длительность и урон увеличны.			Эффект "терновник".	Железные шипы	9
11004	Железные шипы IV	0	3	-1	300	0	0	0	0	12000	1	0	1	1	0	0	5	0	0	0	5	570	2	12500	0	0	41004	0	Смертоносные железные шипы пронзают атакующих врагов.	Наносит урон атакующим. Действует 14 с.	0	0	0	Терновник	Длительность и урон увеличны.			Длительность увеличена.	Железные шипы	9
11005	Железные шипы V	0	3	-1	300	0	0	0	0	12000	1	0	1	1	0	0	5	0	0	0	5	750	2	22500	0	0	41005	0	Отравленные железные шипы пронзают атакующих врагов.	Наносит урон атакующим, 20% шанс отравления. Действует 14с.	0	0	0	Терновник	Длительность и урон увеличны.	Плющ	Шанс отравить атакующих.	Эффект "плющ".	Железные шипы	9
11006	Железные шипы VI	0	3	-1	300	0	0	0	0	12000	1	0	1	1	0	0	5	0	0	0	5	870	2	38500	0	0	41006	0	Отравленные железные шипы пронзают атакующих врагов.	Наносит урон атакующим, 30% шанс отравления. Действует 14 с.	0	0	0	Терновник	Длительность и урон увеличны.	Плющ	Шанс отравить атакующих.	Шанс отравить атакующих.	Железные шипы	9
11101	Кольцо холода  I	0	0	1	300	333	0	0	0	500	1	0	1	1	10	0.003	5	1	1	0	6	60	2	1500	0	0	41101	0	Кольцо пронизывающего холода вырывается из-под земли, замедляя врагов и нанося урон холодом.	Наносит урон и замедляет всех врагов в зоне поражения на 4 с. Дистанция 6 метров.	0	0	0						Кольцо холода	10
11102	Кольцо холода II	0	0	1	300	333	0	0	0	500	1	0	1	1	13	0.003	5	1	1	0	6	240	2	2200	0	0	41102	0	Кольцо пронизывающего холода вырывается из-под земли, замедляя врагов и нанося урон холодом.	Наносит урон и замедляет всех врагов в зоне поражения на 4 с. Дистанция 6 метров.	0	0	0					Урон увеличен.	Кольцо холода	10
11103	Кольцо холода III	0	0	1	300	333	0	0	0	500	1	0	1	1	13	0.004	5	1	1	0	6	420	2	4000	0	0	41103	0	Кольцо пронизывающего холода вырывается из-под земли, замедляя врагов и нанося урон холодом.	Наносит урон и замедляет всех врагов в зоне поражения на 5 с. Дистанция 6 метров.	0	0	0	Озноб	Урон и длительность замедления увеличены.			Эффект "озноб".	Кольцо холода	10
11104	Кольцо холода IV	0	0	1	300	333	0	0	0	500	1	0	1	1	13	0.004	5	1	1	0	6	600	2	12700	0	0	41104	0	Кольцо пронизывающего холода вырывается из-под земли, замедляя врагов и нанося урон холодом.	Наносит урон и замедляет всех врагов в зоне поражения на 5 с. Дистанция 6 метров.	0	0	0	Озноб	Урон и длительность замедления увеличены.			Урон увеличен.	Кольцо холода	10
11105	Кольцо холода V	0	0	1	400	333	0	0	0	500	1	0	1	1	13	0.007	5	1	1	0	7	780	2	25000	0	0	41115+41105	0	Кольцо пронизывающего холода вырывается из-под земли, замедляя врагов и нанося урон холодом. Повышает защиту от огня.	Наносит урон и замедляет всех врагов в зоне поражения на 5 с. Дистанция 7 метров. Повышает защиту от огня на 7 с.	0	0	0	Озноб	Урон и длительность замедления увеличены.	Ледяное сердце	Зона поражения увеличена. Временно повышает сопротивление огню.	Эффект "ледяное сердце".	Кольцо холода	10
11106	Кольцо холода VI	0	0	1	400	333	0	0	0	500	1	0	1	1	13	0.007	5	1	1	0	7	900	2	37500	0	0	41116+41106	0	Кольцо пронизывающего холода вырывается из-под земли, замедляя врагов и нанося урон холодом. Повышает защиту от огня.	Наносит урон и замедляет всех врагов в зоне поражения на 5 с. Дистанция 7 метров. Повышает защиту от огня на 10 с.	0	0	0	Озноб	Урон и длительность замедления увеличены.	Ледяное сердце	Зона поражения увеличена. Временно повышает сопротивление огню.	Длительность сопротивления увеличена.	Кольцо холода	10
11201	Мантра Чи  I	0	3	-1	400	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	150	2	1300	0	0	41201	0	Ускоряет восстановление жизненных сил. Идеально для продолжительных боев.	Быстро восстанавливает жизненную силу в течение 15 с.	0	0	0						Мантра Чи	11
11202	Мантра Чи II	0	3	-1	400	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	330	2	2400	0	0	41202	0	Ускоряет восстановление жизненных сил. Идеально для продолжительных боев.	Быстро восстанавливает жизненную силу в течение 15 с.	0	0	0					Базовое исцеление увеличено.	Мантра Чи	11
11203	Мантра Чи III	0	3	-1	400	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	510	2	4800	0	0	41203	0	Ускоряет восстановление жизненных сил. Идеально для продолжительных боев.	Быстро восстанавливает жизненную силу в течение 15 с.	0	0	0	Медитация	Целительная сила увеличена.			Эффект "медитация".	Мантра Чи	11
11204	Мантра Чи IV	0	3	-1	400	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	690	2	9500	0	0	41204	0	Ускоряет восстановление жизненных сил. Идеально для продолжительных боев.	Быстро восстанавливает жизненную силу в течение 15 с.	0	0	0	Медитация	Целительная сила увеличена.			Базовое исцеление увеличено.	Мантра Чи	11
11205	Мантра Чи V	0	3	-1	400	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	870	2	18500	0	0	41205	0	Ускоряет восстановление жизненных сил и энергии. Идеально для продолжительных боев.	Быстро восстанавливает жизненную силу и энергию в течение 15 с.	0	0	0	Медитация	Целительная сила увеличена.	Внутреннее равновесие	Также восстанавливает энергию.	Эффект "внутреннее равновесие".	Мантра Чи	11
11206	Мантра Чи VI	0	3	-1	400	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	990	2	40500	0	0	41206	0	Ускоряет восстановление жизненных сил и энергии. Идеально для продолжительных боев.	Быстро восстанавливает жизненную силу и энергию в течение 15 с.	0	0	0	Медитация	Целительная сила увеличена.	Внутреннее равновесие	Также восстанавливает энергию.	Базовое исцеление увеличено.	Мантра Чи	11
11301	Исцеление Чи  I	0	3	-1	300	0	0	0	500	500	1	0	1	1	0	0	5	1	1	0	3	60	2	900	0	0	41301	0	Мгновенно восстанавливает здоровье в разгар боя.	Восстанавливает немного жизненной силы.	0	0	0						Исцеление Чи	12
11302	Исцеление Чи II	0	3	-1	300	0	0	0	500	500	1	0	1	1	0	0	5	1	1	0	3	240	2	1600	0	0	41302	0	Мгновенно восстанавливает здоровье в разгар боя.	Восстанавливает немного жизненной силы.	0	0	0					Базовое исцеление увеличено.	Исцеление Чи	12
11303	Исцеление Чи III	0	3	-1	300	0	0	0	500	500	1	0	1	1	0	0	5	1	1	0	3	420	2	2700	0	0	41303	0	Мгновенно восстанавливает здоровье и повышает защиту в разгар боя.	Восстанавливает немного жизненной силы и повышает защиту.	0	0	0	Сила духа	Исцеляющая сила увеличена. Также временно повышает ЗАЩИТУ.			Эффект "сила духа".	Исцеление Чи	12
