INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	STRING
4010	8	10	1	46750	870	104010	Легкая броня X	Время брать ноги в руки!	+ 0+1+12+10% к скорости бега за каждый фрагмент легкой брони на персонаже.	4	240	Легкая броня
5001	16	1	1	1000	60	105001	Средняя броня I	Сбалансированный подход обеспечит вам преимущество над врагами.	+ 0+1+11+2% к восстановлению энергии за каждый фрагмент средней брони на персонаже.	1	5	Средняя броня
5002	16	2	1	2500	150	105002	Средняя броня II	Сбалансированный подход обеспечит вам преимущество над врагами.	+ 0+1+11+4% к восстановлению энергии за каждый фрагмент средней брони на персонаже.	1	10	Средняя броня
5003	16	3	1	5000	240	105003	Средняя броня III	Сбалансированный подход обеспечит вам преимущество над врагами.	+ 0+1+11+6% к восстановлению энергии за каждый фрагмент средней брони на персонаже.	1	15	Средняя броня
5004	16	4	1	10000	330	105004	Средняя броня IV	Сбалансированный подход обеспечит вам преимущество над врагами.	+ 0+1+11+8% к восстановлению энергии за каждый фрагмент средней брони на персонаже.	1	20	Средняя броня
5005	16	5	1	20000	420	105005	Средняя броня V	Сбалансированный подход обеспечит вам преимущество над врагами.	+ 0+1+11+10% к восстановлению энергии за каждый фрагмент средней брони на персонаже.	1	40	Средняя броня
5006	16	6	1	23750	510	105006	Средняя броня VI	Сбалансированный подход обеспечит вам преимущество над врагами.	+ 0+1+11+12% к восстановлению энергии за каждый фрагмент средней брони на персонаже.	1	60	Средняя броня
5007	16	7	1	29500	600	105007	Средняя броня VII	Сбалансированный подход обеспечит вам преимущество над врагами.	+ 0+1+11+14% к восстановлению энергии за каждый фрагмент средней брони на персонаже.	1	90	Средняя броня
5008	16	8	1	35250	690	105008	Средняя броня VIII	Сбалансированный подход обеспечит вам преимущество над врагами.	+ 0+1+11+16% к восстановлению энергии за каждый фрагмент средней брони на персонаже.	1	120	Средняя броня
5009	16	9	1	41000	780	105009	Средняя броня IX	Сбалансированный подход обеспечит вам преимущество над врагами.	+ 0+1+11+18% к восстановлению энергии за каждый фрагмент средней брони на персонаже.	1	160	Средняя броня
5010	16	10	1	46750	870	105010	Средняя броня X	Сбалансированный подход обеспечит вам преимущество над врагами.	+ 0+1+11+20% к восстановлению энергии за каждый фрагмент средней брони на персонаже.	1	240	Средняя броня
6001	32	1	1	1000	60	106001	Тяжелая броня I	Используйте скрытые резервы, чтобы залечивать раны.	+ 1+2+10+0+0.001% к восстановлению здоровья за каждый фрагмент тяжелой брони на персонаже.	2	5	Тяжелая броня
6002	32	2	1	2500	150	106002	Тяжелая броня II	Используйте скрытые резервы, чтобы залечивать раны.	+ 1+2+10+0+0.002% к восстановлению здоровья за каждый фрагмент тяжелой брони на персонаже.	2	10	Тяжелая броня
6003	32	3	1	5000	240	106003	Тяжелая броня III	Используйте скрытые резервы, чтобы залечивать раны.	+ 1+2+10+0+0.003% к восстановлению здоровья за каждый фрагмент тяжелой брони на персонаже.	2	15	Тяжелая броня
6004	32	4	1	10000	330	106004	Тяжелая броня IV	Используйте скрытые резервы, чтобы залечивать раны.	+ 1+2+10+0+0.004% к восстановлению здоровья за каждый фрагмент тяжелой брони на персонаже.	2	20	Тяжелая броня
6005	32	5	1	20000	420	106005	Тяжелая броня V	Используйте скрытые резервы, чтобы залечивать раны.	+ 1+2+10+0+0.005% к восстановлению здоровья за каждый фрагмент тяжелой брони на персонаже.	2	40	Тяжелая броня
6006	32	6	1	23750	510	106006	Тяжелая броня VI	Используйте скрытые резервы, чтобы залечивать раны.	+ 1+2+10+0+0.006% к восстановлению здоровья за каждый фрагмент тяжелой брони на персонаже.	2	60	Тяжелая броня
6007	32	7	1	29500	600	106007	Тяжелая броня VII	Используйте скрытые резервы, чтобы залечивать раны.	+ 1+2+10+0+0.007% к восстановлению здоровья за каждый фрагмент тяжелой брони на персонаже.	2	90	Тяжелая броня
6008	32	8	1	35250	690	106008	Тяжелая броня VIII	Используйте скрытые резервы, чтобы залечивать раны.	+ 1+2+10+0+0.008% к восстановлению здоровья за каждый фрагмент тяжелой брони на персонаже.	2	120	Тяжелая броня
6009	32	9	1	41000	780	106009	Тяжелая броня IX	Используйте скрытые резервы, чтобы залечивать раны.	+ 1+2+10+0+0.009% к восстановлению здоровья за каждый фрагмент тяжелой брони на персонаже.	2	160	Тяжелая броня
6010	32	10	1	46750	870	106010	Тяжелая броня X	Используйте скрытые резервы, чтобы залечивать раны.	+ 1+2+10+0+0.010% к восстановлению здоровья за каждый фрагмент тяжелой брони на персонаже.	2	240	Тяжелая броня
