INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
4004	4	104	Healthy IV	6004	6	7002	1	0	0	0	0	400	70	35	100
4005	4	105	Healthy V	6004	7	7002	2	0	0	0	0	600	60	50	100
4106	4	106	Healthy VI	6004	8	7002	3	8001	2	0	0	800	50	65	100
4107	4	107	Healthy VII	6004	10	7005	5	8001	3	0	0	1000	40	80	100
4108	4	108	Healthy VIII	6004	11	7005	6	8001	5	0	0	1500	20	95	100
4109	4	109	Healthy IX	6004	12	7008	7	8001	6	9001	1	2000	15	110	100
4110	4	110	Healthy X	6004	13	7008	8	8001	7	9001	2	3000	5	125	100
4201	4	201	Focused I	6006	2	0	0	0	0	0	0	0	0	0	0
4202	4	202	Focused II	6006	3	0	0	0	0	0	0	100	99	5	100
4203	4	203	Focused III	6006	5	0	0	0	0	0	0	200	80	20	100
4204	4	204	Focused IV	6006	6	7002	1	0	0	0	0	400	70	35	100
4205	4	205	Focused V	6006	7	7002	2	0	0	0	0	600	60	50	100
4206	4	206	Focused VI	6006	8	7002	3	8004	2	0	0	800	50	65	100
4207	4	207	Focused VII	6006	10	7005	5	8004	3	0	0	1000	40	80	100
4208	4	208	Focused VIII	6006	11	7005	6	8004	5	0	0	1500	20	95	100
4209	4	209	Focused IX	6006	12	7008	7	8004	6	9001	1	2000	15	110	100
4210	4	210	Focused X	6006	13	7008	8	8004	7	9001	2	3000	5	125	100
4301	4	301	Fortified I	6005	2	0	0	0	0	0	0	0	0	0	0
4302	4	302	Fortified II	6005	3	0	0	0	0	0	0	100	99	5	100
4303	4	303	Fortified III	6005	5	0	0	0	0	0	0	200	80	20	100
4304	4	304	Fortified IV	6005	6	7002	1	0	0	0	0	400	70	35	100
4305	4	305	Fortified V	6005	7	7002	2	0	0	0	0	600	60	50	100
4306	4	306	Fortified VI	6005	8	7002	3	8003	2	0	0	800	50	65	100
4307	4	307	Fortified VII	6005	10	7005	5	8003	3	0	0	1000	40	80	100
4308	4	308	Fortified VIII	6005	11	7005	6	8003	5	0	0	1500	20	95	100
4309	4	309	Fortified IX	6005	12	7008	7	8003	6	9001	1	2000	15	110	100
4310	4	310	Fortified X	6005	13	7008	8	8003	7	9001	2	3000	5	125	100
5101	5	101	Frost I	0	0	0	0	0	0	0	0	0	0	0	0
5102	5	102	Frost II	8001	3	0	0	0	0	0	0	100	99	5	100
5103	5	103	Frost III	8001	5	0	0	0	0	0	0	200	80	20	100
5004	5	104	Frost IV	8001	6	7001	1	0	0	0	0	400	70	35	100
5005	5	105	Frost V	8001	7	7001	2	0	0	0	0	600	60	50	100
5106	5	106	Frost VI	8001	8	7001	3	6005	2	0	0	800	50	65	100
5107	5	107	Frost VII	8001	10	7004	5	6006	3	0	0	1000	40	80	100
5108	5	108	Frost VIII	8001	11	7004	6	6007	5	0	0	1500	20	95	100
5109	5	109	Frost IX	8001	12	7007	7	6008	6	9001	1	2000	15	110	100
5110	5	110	Frost X	8001	13	7007	8	6009	7	9001	2	3000	5	125	100
5201	5	201	Flame I	0	0	0	0	0	0	0	0	0	0	0	0
5202	5	202	Flame II	8002	3	0	0	0	0	0	0	100	99	5	100
5203	5	203	Flame III	8002	5	0	0	0	0	0	0	200	80	20	100
5204	5	204	Flame IV	8002	6	7002	1	0	0	0	0	400	70	35	100
5205	5	205	Flame V	8002	7	7002	2	0	0	0	0	600	60	50	100
5206	5	206	Flame VI	8002	8	7002	3	6001	2	0	0	800	50	65	100
5207	5	207	Flame VII	8002	10	7005	5	6002	3	0	0	1000	40	80	100
5208	5	208	Flame VIII	8002	11	7005	6	6003	5	0	0	1500	20	95	100
5209	5	209	Flame IX	8002	12	7008	7	6004	6	9001	1	2000	15	110	100
5210	5	210	Flame X	8002	13	7008	8	6005	7	9001	2	3000	5	125	100
5301	5	301	Blast I	0	0	0	0	0	0	0	0	0	0	0	0
5302	5	302	Blast II	8003	3	0	0	0	0	0	0	100	99	5	100
5303	5	303	Blast III	8003	5	0	0	0	0	0	0	200	80	20	100
5304	5	304	Blast IV	8003	6	7003	1	0	0	0	0	400	70	35	100
5305	5	305	Blast V	8003	7	7003	2	0	0	0	0	600	60	50	100
5306	5	306	Blast VI	8003	8	7003	3	6001	2	0	0	800	50	65	100
5307	5	307	Blast VII	8003	10	7006	5	6003	3	0	0	1000	40	80	100
5308	5	308	Blast VIII	8003	11	7006	6	6005	5	0	0	1500	20	95	100
5309	5	309	Blast IX	8003	12	7007	7	6007	6	9001	1	2000	15	110	100
5310	5	310	Blast X	8003	13	7007	8	6009	7	9001	2	3000	5	125	100
5401	5	401	Storm I	0	0	0	0	0	0	0	0	0	0	0	0
5402	5	402	Storm II	8004	3	0	0	0	0	0	0	100	99	5	100
5403	5	403	Storm III	8004	5	0	0	0	0	0	0	200	80	20	100
5404	5	404	Storm IV	8004	6	7001	1	0	0	0	0	400	70	35	100
5405	5	405	Storm V	8004	7	7001	2	0	0	0	0	600	60	50	100
5406	5	406	Storm VI	8004	8	7001	3	6002	2	0	0	800	50	65	100
5407	5	407	Storm VII	8004	10	7004	5	6004	3	0	0	1000	40	80	100
5408	5	408	Storm VIII	8004	11	7004	6	6006	5	0	0	1500	20	95	100
5409	5	409	Storm IX	8004	12	7008	7	6008	6	9001	1	2000	15	110	100
5410	5	410	Storm X	8004	13	7008	8	6005	7	9001	2	3000	5	125	100
6101	6	101	Nimble I	6001	2	0	0	0	0	0	0	0	0	0	0
6102	6	102	Nimble II	6001	3	0	0	0	0	0	0	100	99	5	100
6103	6	103	Nimble III	6001	5	0	0	0	0	0	0	200	80	20	100
6004	6	104	Nimble IV	6001	6	7003	1	0	0	0	0	400	70	35	100
6005	6	105	Nimble V	6001	7	7003	2	0	0	0	0	600	60	50	100
6106	6	106	Nimble VI	6001	8	7003	3	8004	2	0	0	800	50	65	100
6107	6	107	Nimble VII	6001	10	7006	5	8004	3	0	0	1000	40	80	100
6108	6	108	Nimble VIII	6001	11	7006	6	8004	5	0	0	1500	20	95	100
6109	6	109	Nimble IX	6001	12	7007	7	8004	6	9001	1	2000	15	110	100
6110	6	110	Nimble X	6001	13	7007	8	8004	7	9001	2	3000	5	125	100
6201	6	201	Hyper I	6003	2	0	0	0	0	0	0	0	0	0	0
6202	6	202	Hyper II	6003	3	0	0	0	0	0	0	100	99	5	100
6203	6	203	Hyper III	6003	5	0	0	0	0	0	0	200	80	20	100
6204	6	204	Hyper IV	6003	6	7003	1	0	0	0	0	400	70	35	100
6205	6	205	Hyper V	6003	7	7003	2	0	0	0	0	600	60	50	100
6206	6	206	Hyper VI	6003	8	7003	3	8002	2	0	0	800	50	65	100
6207	6	207	Hyper VII	6003	10	7006	5	8002	3	0	0	1000	40	80	100
6208	6	208	Hyper VIII	6003	11	7006	6	8002	5	0	0	1500	20	95	100
6209	6	209	Hyper IX	6003	12	7007	7	8002	6	9001	1	2000	15	110	100
6210	6	210	Hyper X	6003	13	7007	8	8002	7	9001	2	3000	5	125	100
6301	6	301	Precision I	6002	2	0	0	0	0	0	0	0	0	0	0
6302	6	302	Precision II	6002	3	0	0	0	0	0	0	100	99	5	100
6303	6	303	Precision III	6002	5	0	0	0	0	0	0	200	80	20	100
6304	6	304	Precision IV	6002	6	7003	1	0	0	0	0	400	70	35	100
6305	6	305	Precision V	6002	7	7003	2	0	0	0	0	600	60	50	100
6306	6	306	Precision VI	6002	8	7003	3	8001	2	0	0	800	50	65	100
6307	6	307	Precision VII	6002	10	7006	5	8001	3	0	0	1000	40	80	100
6308	6	308	Precision VIII	6002	11	7006	6	8001	5	0	0	1500	20	95	100
6309	6	309	Precision IX	6002	12	7007	7	8001	6	9001	1	2000	15	110	100
6310	6	310	Precision X	6002	13	7007	8	8001	7	9001	2	3000	5	125	100
7101	7	501	Ruby	0	0	0	0	0	0	0	0	0	0	0	0
7102	7	502	Ruby II	7001	1	0	0	0	0	0	0	100	99	5	100
7103	7	503	Ruby III	7001	2	0	0	0	0	0	0	200	80	20	100
7104	7	504	Ruby IV	7001	5	0	0	0	0	0	0	400	70	35	100
7105	7	505	Ruby V	7001	7	0	0	0	0	0	0	600	60	50	100
7106	7	506	Ruby VI	7001	10	0	0	0	0	0	0	800	50	65	100
7107	7	507	Ruby VII	7001	12	0	0	0	0	0	0	1000	40	80	100
7108	7	508	Ruby VIII	7001	15	0	0	0	0	0	0	1500	20	95	100
7109	7	509	Ruby IX	7001	17	9001	1	0	0	0	0	2000	15	110	100
7110	7	510	Ruby X	7001	20	9001	2	0	0	0	0	3000	5	125	100
7201	7	601	Sapphire	0	0	0	0	0	0	0	0	0	0	0	0
7202	7	602	Sapphire II	7003	1	0	0	0	0	0	0	100	99	5	100
7203	7	603	Sapphire III	7003	2	0	0	0	0	0	0	200	80	20	100
7204	7	604	Sapphire IV	7003	5	0	0	0	0	0	0	400	70	35	100
7205	7	605	Sapphire V	7003	7	0	0	0	0	0	0	600	60	50	100
7206	7	606	Sapphire VI	7003	10	0	0	0	0	0	0	800	50	65	100
7207	7	607	Sapphire VII	7003	12	0	0	0	0	0	0	1000	40	80	100
7208	7	608	Sapphire VIII	7003	15	0	0	0	0	0	0	1500	20	95	100
7209	7	609	Sapphire IX	7003	17	9001	1	0	0	0	0	2000	15	110	100
7210	7	610	Sapphire X	7003	20	9001	2	0	0	0	0	3000	5	125	100
7301	7	701	Emerald	0	0	0	0	0	0	0	0	0	0	0	0
7302	7	702	Emerald II	7002	1	0	0	0	0	0	0	100	99	5	100
7303	7	703	Emerald III	7002	2	0	0	0	0	0	0	200	80	20	100
7304	7	704	Emerald IV	7002	5	0	0	0	0	0	0	400	70	35	100
7305	7	705	Emerald V	7002	7	0	0	0	0	0	0	600	60	50	100
7306	7	706	Emerald VI	7002	10	0	0	0	0	0	0	800	50	65	100
7307	7	707	Emerald VII	7002	12	0	0	0	0	0	0	1000	40	80	100
7308	7	708	Emerald VIII	7002	15	0	0	0	0	0	0	1500	20	95	100
7309	7	709	Emerald IX	7002	17	9001	1	0	0	0	0	2000	15	110	100
7310	7	710	Emerald X	7002	20	9001	2	0	0	0	0	3000	5	125	100
7401	7	801	Garnet	0	0	0	0	0	0	0	0	0	0	0	0
7402	7	802	Garnet II	7004	1	0	0	0	0	0	0	100	99	5	100
7403	7	803	Garnet III	7004	2	0	0	0	0	0	0	200	80	20	100
7404	7	804	Garnet IV	7004	5	0	0	0	0	0	0	400	70	35	100
7405	7	805	Garnet V	7004	7	0	0	0	0	0	0	600	60	50	100
7406	7	806	Garnet VI	7004	10	0	0	0	0	0	0	800	50	65	100
7407	7	807	Garnet VII	7004	12	0	0	0	0	0	0	1000	40	80	100
7408	7	808	Garnet VIII	7004	15	0	0	0	0	0	0	1500	20	95	100
7409	7	809	Garnet IX	7004	17	9001	1	0	0	0	0	2000	15	110	100
7410	7	810	Garnet X	7004	20	9001	2	0	0	0	0	3000	5	125	100
7501	7	901	Amethyst	0	0	0	0	0	0	0	0	0	0	0	0
7502	7	902	Amethyst II	7005	1	0	0	0	0	0	0	100	99	5	100
7503	7	903	Amethyst III	7005	2	0	0	0	0	0	0	200	80	20	100
7504	7	904	Amethyst IV	7005	5	0	0	0	0	0	0	400	70	35	100
7505	7	905	Amethyst V	7005	7	0	0	0	0	0	0	600	60	50	100
7506	7	906	Amethyst VI	7005	10	0	0	0	0	0	0	800	50	65	100
7507	7	907	Amethyst VII	7005	12	0	0	0	0	0	0	1000	40	80	100
7508	7	908	Amethyst VIII	7005	15	0	0	0	0	0	0	1500	20	95	100
7509	7	909	Amethyst IX	7005	17	9001	1	0	0	0	0	2000	15	110	100
7510	7	910	Amethyst X	7005	20	9001	2	0	0	0	0	3000	5	125	100
7601	7	1001	Malachite	0	0	0	0	0	0	0	0	0	0	0	0
7602	7	1002	Malachite II	7006	1	0	0	0	0	0	0	100	99	5	100
7603	7	1003	Malachite III	7006	2	0	0	0	0	0	0	200	80	20	100
7604	7	1004	Malachite IV	7006	5	0	0	0	0	0	0	400	70	35	100
7605	7	1005	Malachite V	7006	7	0	0	0	0	0	0	600	60	50	100
7606	7	1006	Malachite VI	7006	10	0	0	0	0	0	0	800	50	65	100
7607	7	1007	Malachite VII	7006	12	0	0	0	0	0	0	1000	40	80	100
7608	7	1008	Malachite VIII	7006	15	0	0	0	0	0	0	1500	20	95	100
7609	7	1009	Malachite IX	7006	17	9001	1	0	0	0	0	2000	15	110	100
7610	7	1010	Malachite X	7006	20	9001	2	0	0	0	0	3000	5	125	100
7701	7	1101	Obsidian	0	0	0	0	0	0	0	0	0	0	0	0
7702	7	1102	Obsidian II	7007	1	0	0	0	0	0	0	100	99	5	100
7703	7	1103	Obsidian III	7007	2	0	0	0	0	0	0	200	80	20	100
7704	7	1104	Obsidian IV	7007	5	0	0	0	0	0	0	400	70	35	100
7705	7	1105	Obsidian V	7007	7	0	0	0	0	0	0	600	60	50	100
7706	7	1106	Obsidian VI	7007	10	0	0	0	0	0	0	800	50	65	100
7707	7	1107	Obsidian VII	7007	12	0	0	0	0	0	0	1000	40	80	100
7708	7	1108	Obsidian VIII	7007	15	0	0	0	0	0	0	1500	20	95	100
7709	7	1109	Obsidian IX	7007	17	9001	1	0	0	0	0	2000	15	110	100
7710	7	1110	Obsidian X	7007	20	9001	2	0	0	0	0	3000	5	125	100
7801	7	1201	Golden	0	0	0	0	0	0	0	0	0	0	0	0
7802	7	1202	Golden II	7007	1	0	0	0	0	0	0	100	99	5	100
7803	7	1203	Golden III	7007	2	0	0	0	0	0	0	200	80	20	100
7804	7	1204	Golden IV	7007	5	0	0	0	0	0	0	400	70	35	100
7805	7	1205	Golden V	7007	7	0	0	0	0	0	0	600	60	50	100
7806	7	1206	Golden VI	7007	10	0	0	0	0	0	0	800	50	65	100
7807	7	1207	Golden VII	7007	12	0	0	0	0	0	0	1000	40	80	100
7808	7	1208	Golden VIII	7007	15	0	0	0	0	0	0	1500	20	95	100
7809	7	1209	Golden IX	7007	17	9001	1	0	0	0	0	2000	15	110	100
7810	7	1210	Golden X	7007	20	9001	2	0	0	0	0	3000	5	125	100
7901	7	1301	Jade	0	0	0	0	0	0	0	0	0	0	0	0
7902	7	1302	Jade II	7008	1	0	0	0	0	0	0	100	99	5	100
7903	7	1303	Jade III	7008	2	0	0	0	0	0	0	200	80	20	100
7904	7	1304	Jade IV	7008	5	0	0	0	0	0	0	400	70	35	100
7905	7	1305	Jade V	7008	7	0	0	0	0	0	0	600	60	50	100
7906	7	1306	Jade VI	7008	10	0	0	0	0	0	0	800	50	65	100
7907	7	1307	Jade VII	7008	12	0	0	0	0	0	0	1000	40	80	100
7908	7	1308	Jade VIII	7008	15	0	0	0	0	0	0	1500	20	95	100
7909	7	1309	Jade IX	7008	17	9001	1	0	0	0	0	2000	15	110	100
7910	7	1310	Jade X	7008	20	9001	2	0	0	0	0	3000	5	125	100
9000	8	1	Level 1	0	0	0	0	0	0	0	0	0	0	0	0
9001	8	2	Level 2	9001	1	0	0	0	0	0	0	100	99	5	100
9002	8	3	Level 3	9001	1	0	0	0	0	0	0	200	99	10	100
9003	8	4	Level 4	9001	2	0	0	0	0	0	0	300	99	15	100
9004	8	5	Level 5	9001	2	0	0	0	0	0	0	400	80	20	100
9005	8	6	Level 6	9001	3	0	0	0	0	0	0	500	80	25	100
9006	8	7	Level 7	9001	3	0	0	0	0	0	0	600	80	30	100
9007	8	8	Level 8	9001	4	0	0	0	0	0	0	700	70	35	100
9008	8	9	Level 9	9001	4	0	0	0	0	0	0	800	70	40	100
9009	8	10	Level 10	9001	5	0	0	0	0	0	0	900	70	45	100
9010	8	11	Level 11	9001	5	6001	12	0	0	0	0	1000	60	50	100
9011	8	12	Level 12	9001	6	6002	12	0	0	0	0	1100	60	55	100
9012	8	13	Level 13	9001	6	6003	12	0	0	0	0	1200	60	60	100
9013	8	14	Level 14	9001	7	6004	12	0	0	0	0	1300	50	65	100
9014	8	15	Level 15	9001	7	6005	12	0	0	0	0	1400	50	70	100
9015	8	16	Level 16	9001	8	6006	12	0	0	0	0	1500	50	75	100
9016	8	17	Level 17	9001	8	6007	12	0	0	0	0	1600	40	80	100
9017	8	18	Level 18	9001	9	6008	12	0	0	0	0	1700	40	85	100
9018	8	19	Level 19	9001	9	6009	12	0	0	0	0	1800	40	90	100
9019	8	20	Level 20	9001	10	6001	12	7001	12	0	0	1900	20	95	100
9020	8	21	Level 21	9001	10	6002	12	7002	12	0	0	2000	20	100	100
9021	8	22	Level 22	9001	11	6003	12	7003	12	0	0	2100	20	105	100
9022	8	23	Level 23	9001	11	6004	12	7004	12	0	0	2200	15	110	100
9023	8	24	Level 24	9001	12	6005	12	7005	12	0	0	2300	15	115	100
9024	8	25	Level 25	9001	12	6006	12	7006	12	0	0	2400	15	120	100
9025	8	26	Level 26	9001	13	6007	12	7007	12	0	0	2500	10	125	100
9026	8	27	Level 27	9001	13	6008	12	7008	12	0	0	2600	10	130	100
9027	8	28	Level 28	9001	14	6009	12	7007	12	0	0	2700	10	135	100
9028	8	29	Level 29	9001	14	6006	12	7006	12	8001	25	2800	5	140	100
9029	8	30	Level 30	9001	15	6007	12	7007	12	8002	25	2900	5	145	100
9030	8	31	Level 31	9001	15	6008	12	7008	12	8003	25	3000	5	150	100
9031	8	32	Level 32	9001	16	6009	12	7007	12	8004	25	3100	1	155	100
