INT	STRING	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	STRING	STRING	INT	STRING
1206	Золото VI	0	2	16	0.2	5	0	0.18	Небольшой бонус к 	осколкам кармы	8	Золото 
1207	Золото VII	0	2	16	0.2	5	0	0.21	Небольшой бонус к 	осколкам кармы	8	Золото 
1208	Золото VIII	0	2	16	0.2	5	0	0.24	Небольшой бонус к 	осколкам кармы	8	Золото 
1209	Золото IX	0	2	16	0.2	5	0	0.27	Небольшой бонус к 	осколкам кармы	8	Золото 
1210	Золото X	0	2	16	0.2	5	0	0.3	Небольшой бонус к 	осколкам кармы	8	Золото 
1301	Нефрит I	3	1	7	0.2	5	0	3	Бонус к параметру: 	Все +3	9	Нефрит 
1302	Нефрит II	0	1	7	0.2	5	0	6	Бонус к параметру: 	Все +6	9	Нефрит 
1303	Нефрит III	0	1	7	0.2	5	0	9	Бонус к параметру: 	Все +9	9	Нефрит 
1304	Нефрит IV	0	1	7	0.2	5	0	12	Бонус к параметру: 	Все +12	9	Нефрит 
1305	Нефрит V	0	1	7	0.2	5	0	15	Бонус к параметру: 	Все +15	9	Нефрит 
1306	Нефрит VI	0	1	7	0.2	5	0	18	Бонус к параметру: 	Все +18	9	Нефрит 
1307	Нефрит VII	0	1	7	0.2	5	0	21	Бонус к параметру: 	Все +21	9	Нефрит 
1308	Нефрит VIII	0	1	7	0.2	5	0	24	Бонус к параметру: 	Все +24	9	Нефрит 
1309	Нефрит IX	0	1	7	0.2	5	0	27	Бонус к параметру: 	Все +27	9	Нефрит 
1310	Нефрит X	0	1	7	0.2	5	0	30	Бонус к параметру: 	Все +30	9	Нефрит 
100	Метеорит	0	1	7	0.2	5	0	30	Бонус к параметру: 	Все +10	7	Метеорит 
101	Драгоценность RU Steam	0	1	7	0.2	5	0	27	Бонус к параметру: 	Все +27	9	RU Steam 
999	Древний нефрит	0	3	8	0.5	0.05	0	5	Небольшой бонус к 	опыту за миссии	9	Древний нефрит 
