INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
5341	Bloodroot Cemetery	Gnarled roots choke and grasp at clusters of forgotten gravestones and weathered monuments.	11	[414141]Unlock Bloodroot Cemetery To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 12.	[414141]Complete Jawbone Ravine to reach this area.	Without a Head	With their leaders gone, a faction of the Bloodroot thieves are running rampant amongst the nearby villages. Rescue the survivors and destroy all that oppose. 	You have rescued the locals, but they've seen something that keeps them in shock… A walkting tree with the skeleton of a monster. 	8	This mission is curently on cooldown	Storm enchanted enemies are known to patrol this Area	Element_Elec	Cloth, Teeth and Vine are known to originate from this Area	M_Cloth	M_Teeth	M_Vine		9999	11	12	13	14	L3_4	0
5331	Bloodroot Cemetery	Gnarled roots choke and grasp at clusters of forgotten gravestones and weathered monuments.	12	[414141]Unlock Bloodroot Cemetery To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 12.	[414141]Complete Jawbone Ravine to reach this area.	Gashadokuro!	The gigantic skeleton of an ancient Oni warlord has risen, merging with a twisted Jinmenju tree. Defeat this abomination, and then bury the remains.	Gashadokuro is returned to the earth, and the jinmenju sleeps again.	8	This mission is curently on cooldown	Storm enchanted enemies are known to patrol this Area	Element_Elec	Cloth, Teeth and Vine are known to originate from this Area	M_Cloth	M_Teeth	M_Vine	Area Boss: Gashadokuro is reported to drop high quality materials	3	12	13	14	15	L3_3	0
5411	Bloodfang Fort	Long abandoned, this temple ruin serves as a base for the Bloodfang Werewolf Clan. A large Yokai army is gathering here.	13	[414141]Unlock Bloodfang Fort To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 16.	[414141]Complete Bloodroot Cemetery to reach this area.	Going Under	The Bloodfang Clan has occupied the Temple Ruins. A hidden entrance to the temple is accessible via the cellar. Secure the cellar entry and then return to me for further instruction.	The entry point is secure! I suggest you rest a while before further exploring the Temple Cellars.	12	This mission is curently on cooldown	Flame enchanted enemies are known to patrol this Area	Element_Fire	Resin, Powder and Leather are known to originate from this Area	M_Resin	M_Powder	M_Leather		9999	13	14	15	16	L4_1	0
5421	Bloodfang Fort	Long abandoned, this temple ruin serves as a base for the Bloodfang Werewolf Clan. A large Yokai army is gathering here.	14	[414141]Unlock Bloodfang Fort To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 16.	[414141]Complete Bloodroot Cemetery to reach this area.	Don't Dawdle	The temple cellar is a maze of twisted passages  and dead-ends. Beware; a terrible beast stalks the adjoining caves. Secure the Temple stairway, then report back.	Excellent - you have returned safely. Now I can join you in an assault on Chief Bloodfang!	12	This mission is curently on cooldown	Flame enchanted enemies are known to patrol this Area	Element_Fire	Resin, Powder and Leather are known to originate from this Area	M_Resin	M_Powder	M_Leather		9999	14	15	16	17	L4_2	0
5441	Bloodfang Fort	Long abandoned, this temple ruin serves as a base for the Bloodfang Werewolf Clan. A large Yokai army is gathering here.	15	[414141]Unlock Bloodfang Fort To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 16.	[414141]Complete Bloodroot Cemetery to reach this area.	Secret Entrance	The Grand Hexer is using his magic to block the entrance to the south wing where Chief Bloodfang resides. Put an end to his evil ways to create a path through the temple.	You have cleared the path to Bloodfang, nothing will get in your way. 	12	This mission is curently on cooldown	Flame enchanted enemies are known to patrol this Area	Element_Fire	Resin, Powder and Leather are known to originate from this Area	M_Resin	M_Powder	M_Leather		9999	15	16	17	18	L4_4	0
5431	Bloodfang Fort	Long abandoned, this temple ruin serves as a base for the Bloodfang Werewolf Clan. A large Yokai army is gathering here.	16	[414141]Unlock Bloodfang Fort To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 16.	[414141]Complete Bloodroot Cemetery to reach this area.	Big, Bad, Bloodfang	Ascend to the uppermost floor of the Temple, where Chief Bloodfang awaits justice. I will accompany you - let us take his head!	Chief Bloodfang has fallen, taking his clan with him. But others will rise - we cannot rest.	12	This mission is curently on cooldown	Flame enchanted enemies are known to patrol this Area	Element_Fire	Resin, Powder and Leather are known to originate from this Area	M_Resin	M_Powder	M_Leather	Area Boss: BloodFang is reported to drop high quality materials	4	16	17	18	19	L4_3	0
5511	Shivering Pines	An unearthly cold has settled over this ancient pine forest, freezing the nearby lake solid.	17	[414141]Unlock Shivering Pines To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 20.	[414141]Complete Bloodfang Fort to reach this area.	Early Winter	An unnatural cold has fallen over Yomi Forest. Strange witches have been spotted constructing foul shrines in the area. Destroy the Yokai shrines, and eliminate the imp witches.	The cold has receded, but persists still. The ultimate source must still be out there. Stay vigilant!	16	This mission is curently on cooldown	Frost enchanted enemies are known to patrol this Area	Element_Ice	Ruby, Emerald and Sapphire are known to originate from this Area	G_Ruby	G_Emerald	G_Sapphire		0	17	18	19	20	L5_1	0
5521	Shivering Pines	An unearthly cold has settled over this ancient pine forest, freezing the nearby lake solid.	18	[414141]Unlock Shivering Pines To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 20.	[414141]Complete Bloodfang Fort to reach this area.	Creeping Cold	Local fishermen have reported seeing ice men by the frozen bank of the river. It seems they’re gathering to move upon local shrines which protect Yomi village. Save the shrines at all costs.	The Shrines remain to protect Yomi from being swallowed by Winter. Fine work!	16	This mission is curently on cooldown	Frost enchanted enemies are known to patrol this Area	Element_Ice	Ruby, Emerald and Sapphire are known to originate from this Area	G_Ruby	G_Emerald	G_Sapphire		0	18	19	20	21	L5_2	0
5541			19								This mission is curently on cooldown	Frost enchanted enemies are known to patrol this Area	Element_Ice	Ruby, Emerald and Sapphire are known to originate from this Area	G_Ruby	G_Emerald	G_Sapphire		0	19	20	21	22		
5531	Shivering Pines	An unearthly cold has settled over this ancient pine forest, freezing the nearby lake solid.	20	[414141]Unlock Shivering Pines To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 20.	[414141]Complete Bloodfang Fort to reach this area.	Heart of Ice	The winter curse persists. The freezing energies have been traced to a small grove deep within the forest. Go there and destroy the source. End this bitter cold.	Defeating such power is a mighty feat, Hunter. I am awed! The Winter Curse has been ended.	16	This mission is curently on cooldown	Frost enchanted enemies are known to patrol this Area	Element_Ice	Ruby, Emerald and Sapphire are known to originate from this Area	G_Ruby	G_Emerald	G_Sapphire	Area Boss: The Winter Banshee is reported to drop high quality materials	5	20	21	22	23	L5_3	0
5611	Yurei Caverns	Underground water has slowly carved out this immense hive of caverns. Many foul things have taken up residence.	21	[414141]Unlock Yurei Caverns To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 24.	[414141]Complete Shivering Pines to reach this area.	Kidnappers!	Wood Sprites have long been allies against more sinister Yokai forces. Meet Chief Pokku, he believes his people are being abducted for some foul purpose. Help him track down the culprits.	It is good that you have exposed the Ghostclaw connection. They cannot be allowed to continue! 	20	This mission is curently on cooldown	Blast enchanted enemies are known to patrol this Area	Element_Explo	Garnet, Amethyst and Malachite are known to originate from this Area	G_Garnet	G_Ameth	G_Malachite		0	21	22	23	24	L6_1	0
5621	Yurei Caverns	Underground water has slowly carved out this immense hive of caverns. Many foul things have taken up residence.	22	[414141]Unlock Yurei Caverns To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 24.	[414141]Complete Shivering Pines to reach this area.	A Little Problem	A remnant group of Ghostclaw Cultists has been abducting Wood Sprites. Chief Pokku has requested your help again. Investigate the Ghostclaw Compound  and free any captive Sprites.	The Chief is most pleased with the rescue of his people, though he fears more still are in danger. 	20	This mission is curently on cooldown	Blast enchanted enemies are known to patrol this Area	Element_Explo	Garnet, Amethyst and Malachite are known to originate from this Area	G_Garnet	G_Ameth	G_Malachite		0	22	23	24	25	L6_2	0
5641			23								This mission is curently on cooldown	Blast enchanted enemies are known to patrol this Area	Element_Explo	Garnet, Amethyst and Malachite are known to originate from this Area	G_Garnet	G_Amethyst	G_Malachite		0	23	24	25	26		
5631	Yurei Caverns	Underground water has slowly carved out this immense hive of caverns. Many foul things have taken up residence.	24	[414141]Unlock Yurei Caverns To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 24.	[414141]Complete Shivering Pines to reach this area.	The Risen One	The Ghostclaw have retreated further into their caverns; pursue them and exterminate their new leader. Chief Pokku will assist  you.	You have honored the Order by helping our allies and thwarting the rise of a new Demon King.  	20	This mission is curently on cooldown	Blast enchanted enemies are known to patrol this Area	Element_Explo	Garnet, Amethyst and Malachite are known to originate from this Area	G_Garnet	G_Ameth	G_Malachite	Area Boss: Algernon is reported to drop high quality materials	6	24	25	26	27	L6_3	0
5711	Melon Fields	The coastal edge of the forest is home to a small farming community, often beseiged by Yokai.	25	[414141] 	[ffffff]Coming Soon!	[414141]Complete Yurei Caverns to reach this area.	A Strange Crop	We’ve had curious reports from local farmers that their melon crops have become a little... hostile. Head to the farms near the edge of the cemetery and start harvesting!	Possessed fruit! I've never seen the like. Some new Yokai plot must be behind this...	24	This mission is curently on cooldown	Storm enchanted enemies are known to patrol this Area	Element_Elec	Obsidian and Jade are known to originate from this Area	G_Obsidian	G_Jade	0		0	25	26	27	28	L7_1	0
5721	Melon Fields	The coastal edge of the forest is home to a small farming community, often beseiged by Yokai.	26	[414141]Unlock Melon Fields To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 28.	[414141]Complete Yurei Caverns to reach this area.	Fallen Hero	There are reports that a fallen Akane warrior has emerged from the crypts beneath the Boneyards with an army of ancient bone warriors. Attack them head on, and slow their march while we locate the new Demon King.	How dare they desecrate the remains of our ancestors! We must cut the head from this new beast.	24	This mission is curently on cooldown	Storm enchanted enemies are known to patrol this Area	Element_Elec	Obsidian and Jade are known to originate from this Area	G_Obsidian	G_Jade	0		0	26	27	28	29	L7_2	0
5741			27								This mission is curently on cooldown	Storm enchanted enemies are known to patrol this Area	Element_Elec	Obsidian and Jade are known to originate from this Area	G_Obsidian	G_Jade			0	27	28	29	30		
5731	Melon Fields	The coastal edge of the forest is home to a small farming community, often beseiged by Yokai.	28	[414141]Unlock Melon Fields To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 28.	[414141]Complete Yurei Caverns to reach this area.	Reap As You Sow	A nearby village fears being overwhelmed by possessed fruits. Offer what assistance you can in defense of the village; hopefully you can put an end to this strange invasion.	You have scattered the Crackbone clan to the winds and defeated their Demon King. Now they join the dead they so cruelly used. 	24	This mission is curently on cooldown	Storm enchanted enemies are known to patrol this Area	Element_Elec	Obsidian and Jade are known to originate from this Area	G_Obsidian	G_Jade	0	Area Boss: Futakuchi is reported to drop high quality materials	7	28	29	30	31	L7_3	0
5811	Temple Depths	The catacombs that run under the temple adjoin a series of deep caverns. It's rumored some of these run even deeper into the earth below.	29	[414141] 	[ffffff]Coming Soon!	[414141]Complete Melon Fields to reach this area.	Knock, Knock	The temple has new tenants... The Magjaw Tribe. It's rare to see these deep cave dwellers in this area, especially in such large numbers. Hit them hard and fast - flush out the leaders!	Excellent work. I'm sure that shook them up! Let's see if it flushes out the Magjaw leaders. 	28	This mission is curently on cooldown	Flame enchanted enemies are known to patrol this Area	Element_Fire	Element Cores are known to originate from this Area	Element_Elec	Element_Explo	Element_Fire		0	29	30	31	32	L8_1	0
5821	Temple Depths	The catacombs that run under the temple adjoin a series of deep caverns. It's rumored some of these run even deeper into the earth below.	30	[414141]Unlock Temple Depths To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 32.	[414141]Complete Melon Fields to reach this area.	Missing in Action	Hunter Jude has failed to report. Go to his last known location, within the temple cellars. You can access the cellars via Magjaw tunnels. Rescue Jude, if possible.	Thank you for locating Jude. We have returned him to Akane Lodge, where his wounds will be tended. 	28	This mission is curently on cooldown	Flame enchanted enemies are known to patrol this Area	Element_Fire	Element Cores are known to originate from this Area	Element_Explo	Element_Fire	Element_Ice		0	30	31	32	33	L8_2	0
5841			31								This mission is curently on cooldown	Flame enchanted enemies are known to patrol this Area	Element_Fire	Element Cores are known to originate from this Area	Element_Karma	Element_Karma	Element_Karma		0	31	32	33	34		
5831	Temple Depths	The catacombs that run under the temple adjoin a series of deep caverns. It's rumored some of these run even deeper into the earth below.	32	[414141]Unlock Temple Depths To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 32.	[414141]Complete Melon Fields to reach this area.	What Lies Below	There is a large Magjaw tunnel system adjoining a deeper region of the Temple Catacombs. If we close it off, it'll block any further invaders. 	The Magjaw have been repelled, but not defeated. Perhaps we ought to take the fight to them, next time. 	28	This mission is curently on cooldown	Flame enchanted enemies are known to patrol this Area	Element_Fire	Element Cores are known to originate from this Area	Element_Fire	Element_Ice	Element_Karma	Area Boss: Maglord Obe is reported to drop high quality materials	8	32	33	34	35	L8_3	0
