INT	INT	STRING	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1112	9	Golden Inugami	0	Explosion	Dog spirit. Increases Power 13%. Chance to explode when attacked.	50112+51102	9	1	12	291932	250	0	1250	0	78	1	1100
1113	9	Golden Inugami	0	Explosion	Dog spirit. Increases Power 14%. Chance to explode when attacked.	50113+51102	9	1	13	345518	250	0	1250	0	78	1	1100
1114	9	Golden Inugami	0	Explosion	Dog spirit. Increases Power 15%. Chance to explode when attacked.	50114+51102	9	1	14	413084	250	0	1250	0	78	1	1100
1115	9	Golden Inugami	0	Explosion	Dog spirit. Increases Power 16%. Chance to explode when attacked.	50115+51102	9	1	15	482646	250	0	1250	0	78	1	1100
2101	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	51201+51210+51202	10	1	1	0	320	0	1600	0	100	1	2100
2102	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50202+51211+51202	10	1	2	1664	320	0	1600	0	100	1	2100
2103	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50203+51212+51202	10	1	3	7808	320	0	1600	0	100	1	2100
2104	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50204+51213+51202	10	1	4	22498	320	0	1600	0	100	1	2100
2105	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50205+51214+51202	10	1	5	39862	320	0	1600	0	100	1	2100
2106	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50206+51215+51202	10	1	6	57866	320	0	1600	0	100	1	2100
2107	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50207+51216+51202	10	1	7	85296	320	0	1600	0	100	1	2100
2108	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50208+51217+51202	10	1	8	117040	320	0	1600	0	100	1	2100
2109	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50209+51218+51202	10	1	9	149860	320	0	1600	0	100	1	2100
2110	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50210+51219+51202	10	1	10	195726	320	0	1600	0	100	1	2100
2111	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50211+51220+51202	10	1	11	243084	320	0	1600	0	100	1	2100
2112	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50212+51221+51202	10	1	12	291932	320	0	1600	0	100	1	2100
2113	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50213+51222+51202	10	1	13	345518	320	0	1600	0	100	1	2100
2114	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50214+51223+51202	10	1	14	413084	320	0	1600	0	100	1	2100
2115	10	Singularity Neko	0	Invincibility	Cat spirit. Increases Critical Damage and Skill. Chance of invincibility when attacked. 	50215+51224+51202	10	1	15	482646	320	0	1600	0	100	1	2100
8001	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50801	11	1	1	0	1200	0	6000	0	375	1	8000
8002	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50802	11	1	2	1664	1200	0	6000	0	375	1	8000
8003	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50803	11	1	3	7808	1200	0	6000	0	375	1	8000
8004	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50804	11	1	4	22498	1200	0	6000	0	375	1	8000
8005	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50805	11	1	5	39862	1200	0	6000	0	375	1	8000
8006	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50806	11	1	6	57866	1200	0	6000	0	375	1	8000
8007	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50807	11	1	7	85296	1200	0	6000	0	375	1	8000
8008	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50808	11	1	8	117040	1200	0	6000	0	375	1	8000
8009	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50809	11	1	9	149860	1200	0	6000	0	375	1	8000
8010	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50810	11	1	10	195726	1200	0	6000	0	375	1	8000
8011	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50811	11	1	11	243084	1200	0	6000	0	375	1	8000
8012	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50812	11	1	12	291932	1200	0	6000	0	375	1	8000
8013	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50813	11	1	13	345518	1200	0	6000	0	375	1	8000
8014	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50814	11	1	14	413084	1200	0	6000	0	375	1	8000
8015	11	Pen-gin	0	Frost Immunity	Penguin spirit. Increases max Energy and Health, Defense. Frost immunity.	50815	11	1	15	482646	1200	0	6000	0	375	1	8000
9001	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 4%	50901	12	1	1	0	500	0	2500	0	156	1	9000
9002	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 5%	50902	12	1	2	1664	500	0	2500	0	156	1	9000
9003	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 6%	50903	12	1	3	7808	500	0	2500	0	156	1	9000
9004	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 7%	50904	12	1	4	22498	500	0	2500	0	156	1	9000
9005	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 8%	50905	12	1	5	39862	500	0	2500	0	156	1	9000
9006	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 9%	50906	12	1	6	57866	500	0	2500	0	156	1	9000
9007	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 10%	50907	12	1	7	85296	500	0	2500	0	156	1	9000
9008	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 11%	50908	12	1	8	117040	500	0	2500	0	156	1	9000
9009	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 12%	50909	12	1	9	149860	500	0	2500	0	156	1	9000
9010	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 13%	50910	12	1	10	195726	500	0	2500	0	156	1	9000
9011	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 14%	50911	12	1	11	243084	500	0	2500	0	156	1	9000
9012	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 15%	50912	12	1	12	291932	500	0	2500	0	156	1	9000
9013	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 16%	50913	12	1	13	345518	500	0	2500	0	156	1	9000
9014	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 17%	50914	12	1	14	413084	500	0	2500	0	156	1	9000
9015	12	Karakuri Gaben	0	Attack Speed	Yokai spirit. Increases Attack Speed 18%	50915	12	1	15	482646	500	0	2500	0	156	1	9000
10001	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 10%	51301	1	1	1	0	250	0	1250	0	78	1	10000
10002	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 11%	51302	1	1	2	1664	250	0	1250	0	78	1	10000
10003	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 12%	51303	1	1	3	7808	250	0	1250	0	78	1	10000
10004	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 13%	51304	1	1	4	22498	250	0	1250	0	78	1	10000
10005	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 14%	51305	1	1	5	39862	250	0	1250	0	78	1	10000
10006	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 15%	51306	1	1	6	57866	250	0	1250	0	78	1	10000
10007	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 16%	51307	1	1	7	85296	250	0	1250	0	78	1	10000
10008	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 17%	51308	1	1	8	117040	250	0	1250	0	78	1	10000
10009	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 18%	51309	1	1	9	149860	250	0	1250	0	78	1	10000
10010	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 19%	51310	1	1	10	195726	250	0	1250	0	78	1	10000
10011	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 20%	51311	1	1	11	243084	250	0	1250	0	78	1	10000
10012	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 21%	51312	1	1	12	291932	250	0	1250	0	78	1	10000
10013	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 22%	51313	1	1	13	345518	250	0	1250	0	78	1	10000
10014	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 23%	51314	1	1	14	413084	250	0	1250	0	78	1	10000
10015	13	Itachi 	0	Blast Immunity	Kickstarter Custom Weasel spirit. Blast immunity 24%	51315	1	1	15	482646	250	0	1250	0	78	1	10000
12001	15	Karamu	0	Flame Immunity	Kickstarter Custom Phoenix spirit. Flame immunity 10%	51401	1	1	1	0	320	0	1600	0	100	1	12000
12002	15	Karamu	0	Flame Immunity	Kickstarter Custom Phoenix spirit. Flame immunity 11%	51402	1	1	2	1664	320	0	1600	0	100	1	12000
12003	15	Karamu	0	Flame Immunity	Kickstarter Custom Phoenix spirit. Flame immunity 12%	51403	1	1	3	7808	320	0	1600	0	100	1	12000
12004	15	Karamu	0	Flame Immunity	Kickstarter Custom Phoenix spirit. Flame immunity 13%	51404	1	1	4	22498	320	0	1600	0	100	1	12000
12005	15	Karamu	0	Flame Immunity	Kickstarter Custom Phoenix spirit. Flame immunity 14%	51405	1	1	5	39862	320	0	1600	0	100	1	12000
12006	15	Karamu	0	Flame Immunity	Kickstarter Custom Phoenix spirit. Flame immunity 15%	51406	1	1	6	57866	320	0	1600	0	100	1	12000
12007	15	Karamu	0	Flame Immunity	Kickstarter Custom Phoenix spirit. Flame immunity 16%	51407	1	1	7	85296	320	0	1600	0	100	1	12000
12008	15	Karamu	0	Flame Immunity	Kickstarter Custom Phoenix spirit. Flame immunity 17%	51408	1	1	8	117040	320	0	1600	0	100	1	12000
