INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	STRING
4003	8	3	1	5000	192	104003	Light Armor III	Puts a swift spring in your step. [ff0000]Condition:[-] Light Armor Equipped	Adds 3% to Movement speed for each piece of Light Armor equipped.	4	15	Light Armor
4004	8	4	1	10000	264	104004	Light Armor IV	Puts a swift spring in your step. [ff0000]Condition:[-] Light Armor Equipped	Adds 4% to Movement speed for each piece of Light Armor equipped.	4	20	Light Armor
4005	8	5	1	20000	336	104005	Light Armor V	Puts a swift spring in your step. [ff0000]Condition:[-] Light Armor Equipped	Adds 5% to Movement speed for each piece of Light Armor equipped.	4	40	Light Armor
4006	8	6	1	23750	408	104006	Light Armor VI	Puts a swift spring in your step. [ff0000]Condition:[-] Light Armor Equipped	Adds 6% to Movement speed for each piece of Light Armor equipped.	4	60	Light Armor
4007	8	7	1	29500	480	104007	Light Armor VII	Puts a swift spring in your step. [ff0000]Condition:[-] Light Armor Equipped	Adds 7% to Movement speed for each piece of Light Armor equipped.	4	90	Light Armor
4008	8	8	1	35250	552	104008	Light Armor VIII	Puts a swift spring in your step. [ff0000]Condition:[-] Light Armor Equipped	Adds 8% to Movement speed for each piece of Light Armor equipped.	4	120	Light Armor
4009	8	9	1	41000	624	104009	Light Armor IX	Puts a swift spring in your step. [ff0000]Condition:[-] Light Armor Equipped	Adds 9% to Movement speed for each piece of Light Armor equipped.	4	160	Light Armor
4010	8	10	1	46750	696	104010	Light Armor X	Puts a swift spring in your step. [ff0000]Condition:[-] Light Armor Equipped	Adds 10% to Movement speed for each piece of Light Armor equipped.	4	240	Light Armor
5001	16	1	1	1000	48	105001	Medium Armor I	Outclass your opponents with a balanced approach.[ff0000]Condition:[-] Medium Armor Equipped	Adds 2% Energy Regen for each piece of Medium Armor equipped.	1	5	Medium Armor
5002	16	2	1	2500	120	105002	Medium Armor II	Outclass your opponents with a balanced approach.[ff0000]Condition:[-] Medium Armor Equipped	Adds 4% Energy Regen for each piece of Medium Armor equipped.	1	10	Medium Armor
5003	16	3	1	5000	192	105003	Medium Armor III	Outclass your opponents with a balanced approach.[ff0000]Condition:[-] Medium Armor Equipped	Adds 6% Energy Regen for each piece of Medium Armor equipped.	1	15	Medium Armor
5004	16	4	1	10000	264	105004	Medium Armor IV	Outclass your opponents with a balanced approach.[ff0000]Condition:[-] Medium Armor Equipped	Adds 8% Energy Regen for each piece of Medium Armor equipped.	1	20	Medium Armor
5005	16	5	1	20000	336	105005	Medium Armor V	Outclass your opponents with a balanced approach.[ff0000]Condition:[-] Medium Armor Equipped	Adds 10% Energy Regen for each piece of Medium Armor equipped.	1	40	Medium Armor
5006	16	6	1	23750	408	105006	Medium Armor VI	Outclass your opponents with a balanced approach. [ff0000]Condition:[-] Medium Armor Equipped	Adds 12% Energy Regen for each piece of Medium Armor equipped.	1	60	Medium Armor
5007	16	7	1	29500	480	105007	Medium Armor VII	Outclass your opponents with a balanced approach. [ff0000]Condition:[-] Medium Armor Equipped	Adds 14% Energy Regen for each piece of Medium Armor equipped.	1	90	Medium Armor
5008	16	8	1	35250	552	105008	Medium Armor VIII	Outclass your opponents with a balanced approach. [ff0000]Condition:[-] Medium Armor Equipped	Adds 16% Energy Regen for each piece of Medium Armor equipped.	1	120	Medium Armor
5009	16	9	1	41000	624	105009	Medium Armor IX	Outclass your opponents with a balanced approach. [ff0000]Condition:[-] Medium Armor Equipped	Adds 18% Energy Regen for each piece of Medium Armor equipped.	1	160	Medium Armor
5010	16	10	1	46750	696	105010	Medium Armor X	Outclass your opponents with a balanced approach. [ff0000]Condition:[-] Medium Armor Equipped	Adds 20% Energy Regen for each piece of Medium Armor equipped.	1	240	Medium Armor
6001	32	1	1	1000	48	106001	Heavy Armor I	Channel great stamina to recover from wounds. [ff0000]Condition:[-] Heavy Armor Equipped	Adds 1% Health Regen for each piece of Heavy Armor equipped.	2	5	Heavy Armor
6002	32	2	1	2500	120	106002	Heavy Armor II	Channel great stamina to recover from wounds. [ff0000]Condition:[-] Heavy Armor Equipped	Adds 2% Health Regen for each piece of Heavy Armor equipped.	2	10	Heavy Armor
6003	32	3	1	5000	192	106003	Heavy Armor III	Channel great stamina to recover from wounds. [ff0000]Condition:[-] Heavy Armor Equipped	Adds 3% Health Regen for each piece of Heavy Armor equipped.	2	15	Heavy Armor
6004	32	4	1	10000	264	106004	Heavy Armor IV	Channel great stamina to recover from wounds. [ff0000]Condition:[-] Heavy Armor Equipped	Adds 4% Health Regen for each piece of Heavy Armor equipped.	2	20	Heavy Armor
6005	32	5	1	20000	336	106005	Heavy Armor V	Channel great stamina to recover from wounds. [ff0000]Condition:[-] Heavy Armor Equipped	Adds 5% Health Regen for each piece of Heavy Armor equipped.	2	40	Heavy Armor
6006	32	6	1	23750	408	106006	Heavy Armor VI	Channel great stamina to recover from wounds. [ff0000]Condition:[-] Heavy Armor Equipped	Adds 6% Health Regen for each piece of Heavy Armor equipped.	2	60	Heavy Armor
6007	32	7	1	29500	480	106007	Heavy Armor VII	Channel great stamina to recover from wounds. [ff0000]Condition:[-] Heavy Armor Equipped	Adds 7% Health Regen for each piece of Heavy Armor equipped.	2	90	Heavy Armor
6008	32	8	1	35250	552	106008	Heavy Armor VIII	Channel great stamina to recover from wounds. [ff0000]Condition:[-] Heavy Armor Equipped	Adds 8% Health Regen for each piece of Heavy Armor equipped.	2	120	Heavy Armor
6009	32	9	1	41000	624	106009	Heavy Armor IX	Channel great stamina to recover from wounds. [ff0000]Condition:[-] Heavy Armor Equipped	Adds 9% Health Regen for each piece of Heavy Armor equipped.	2	160	Heavy Armor
6010	32	10	1	46750	696	106010	Heavy Armor X	Channel great stamina to recover from wounds. [ff0000]Condition:[-] Heavy Armor Equipped	Adds 10% Health Regen for each piece of Heavy Armor equipped.	2	240	Heavy Armor
