INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
9508	2003	1005	$24.99 Bundle - Straw Leg	1105	105	105	100	15	0	0	0
9000	2010	101	Red Cap's Cloak	905	0	800	100	4	0	250	0
9001	2010	101	Red Cap's Cloak	905	0	800	100	18	0	250	0
9005	1002	101	Hunter's Axe	1005	0	800	100	6	0	250	0
9006	1002	101	Hunter's Axe	1005	0	800	100	20	0	250	0
9010	3001	101	Signet Ring	1105	0	800	100	8	0	250	0
9011	3001	101	Signet Ring	1105	0	800	100	22	0	250	0
9015	2001	1002	GrandmaWolf_Head	805	0	821	100	10	0	250	0
9016	2001	1002	GrandmaWolf_Head	805	0	821	100	24	0	250	0
9050	2002	1002	GrandmaWolf_Chest	1105	105	105	100	15	0	250	0
9051	2003	1002	GrandmaWolf_Leg	1105	105	105	100	15	0	250	0
9052	2001	1001	Cherry_Head	1105	205	205	100	15	0	250	0
9053	2002	1001	Cherry_Chest	1105	205	205	100	15	0	250	0
9054	2003	1001	Cherry_Leg	1105	205	205	100	15	0	250	0
9055	2001	1003	Hula_Head	1105	305	305	100	15	0	250	0
9056	2002	1003	Hula_Chest	1105	305	305	100	15	0	250	0
9057	2003	1003	Hula_Leg	1105	305	305	100	15	0	250	0
9058	2001	1004	Sailor_Head	1105	405	105	100	15	0	250	0
9059	2002	1004	Sailor_Chest	1105	405	105	100	15	0	250	0
9060	2003	1004	Sailor_Leg	1105	405	105	100	15	0	250	0
9061	2001	1005	Straw_Head	1105	105	205	100	15	0	250	0
9062	2002	1005	Straw_Chest	1105	105	205	100	15	0	250	0
9063	2003	1005	Straw_Leg	1105	105	205	100	15	0	250	0
9064	2001	1006	Teapot_Head	1105	205	305	100	15	0	250	0
9065	2002	1006	Teapot_Chest	1105	205	305	100	15	0	250	0
9066	2003	1006	Teapot_Leg	1105	205	305	100	15	0	250	0
8700	1011	1	Claw Test 1	0	0	0	100	1	0	250	0
8701	1011	2	Claw Test 2	0	0	0	100	1	0	250	0
8702	1011	3	Claw Test 3	0	0	0	100	1	0	250	0
8703	1011	4	Claw Test 4	0	0	0	100	1	0	250	0
8704	1011	5	Claw Test 5	0	0	0	100	1	0	250	0
8705	1011	6	Claw Test 6	0	0	0	100	1	0	250	0
8706	1011	7	Claw Test 7	0	0	0	100	1	0	250	0
8707	1011	8	Claw Test 8	0	0	0	100	1	0	250	0
8708	1011	9	Claw Test 9	0	0	0	100	1	0	250	0
8709	1011	10	Claw Test 10	0	0	0	100	1	0	250	0
8710	4003	101	Bone	0	0	0	100	1	0	250	0
8711	4004	102	Crab	0	0	0	100	1	0	250	0
8712	1012	1	Fist Test 1	0	0	0	100	1	0	250	0
8713	1012	2	Fist Test 2	0	0	0	100	1	0	250	0
8714	1012	3	Fist Test 3	0	0	0	100	1	0	250	0
8715	1012	4	Fist Test 4	0	0	0	100	1	0	250	0
8716	1012	5	Fist Test 5	0	0	0	100	1	0	250	0
8717	1012	6	Fist Test 6	0	0	0	100	1	0	250	0
8718	1012	7	Fist Test 7	0	0	0	100	1	0	250	0
8719	1012	8	Fist Test 8	0	0	0	100	1	0	250	0
8720	1012	9	Fist Test 9	0	0	0	100	1	0	250	0
8721	1012	10	Fist Test 10	0	0	0	100	1	0	250	0
8722	4005	101	Bear	0	0	0	100	1	0	250	0
8723	4006	102	Boxer	0	0	0	100	1	0	250	0
8000	20000	1	Spicy Sushi	0	0	0	0	0	0	0	0
8001	20001	1	Caviar Onigiri	0	0	0	0	0	0	0	0
8002	20002	1	Mint Tofu	0	0	0	0	0	0	0	0
8003	20003	1	Garlic Snapper	0	0	0	0	0	0	0	0
8004	20004	1	Ginseng Soba	0	0	0	0	0	0	0	0
8005	20005	1	Yomi Sake	0	0	0	0	0	0	0	0
8006	20006	1	Plum Wine	0	0	0	0	0	0	0	0
8007	20007	1	Green Tea	0	0	0	0	0	0	0	0
8008	20008	1	Red Tea	0	0	0	0	0	0	0	0
8009	20009	1	Sea Urchin Sushi	0	0	0	0	0	0	0	0
8010	20010	1	Kagami Mochi	0	0	0	0	0	0	0	0
8011	20014	1	Dorayaki	0	0	0	0	0	0	0	0
8012	20015	1	Fugu Tempura	0	0	0	0	0	0	0	0
8013	20016	1	Sukiyaki	0	0	0	0	0	0	0	0
8014	20017	1	Shochu	0	0	0	0	0	0	0	0
8015	20018	1	Awamori	0	0	0	0	0	0	0	0
8016	20019	1	Hojicha Tea	0	0	0	0	0	0	0	0
8017	20020	1	Chrysanthemum Tea	0	0	0	0	0	0	0	0
8200	20100	1	1 Shinigami Scroll	0	0	0	0	0	0	0	0
8201	20101	1	5 Shinigami Scrolls	0	0	0	0	0	0	0	0
8202	20102	1	10 Shinigami Scrolls	0	0	0	0	0	0	0	0
8203	20103	1	20 Shinigami Scrolls	0	0	0	0	0	0	0	0
8204	20104	1	50 Shinigami Scrolls	0	0	0	0	0	0	0	0
8205	20105	1	100 Shinigami Scrolls	0	0	0	0	0	0	0	0
8500	6001	1	Pelts	0	0	0	0	0	0	0	0
8501	6002	1	Metal	0	0	0	0	0	0	0	0
8502	6003	1	Timber	0	0	0	0	0	0	0	0
8503	6004	1	Cloth	0	0	0	0	0	0	0	0
8504	6005	1	Teeth	0	0	0	0	0	0	0	0
8505	6006	1	Vine	0	0	0	0	0	0	0	0
8506	6007	1	Resin	0	0	0	0	0	0	0	0
8507	6008	1	Flux	0	0	0	0	0	0	0	0
8508	6009	1	Leather	0	0	0	0	0	0	0	0
8509	7001	1	Ruby	0	0	0	0	0	0	0	0
8510	7002	1	Emerald	0	0	0	0	0	0	0	0
8511	7003	1	Sapphire	0	0	0	0	0	0	0	0
8512	7004	1	Garnet	0	0	0	0	0	0	0	0
8513	7005	1	Amethyst	0	0	0	0	0	0	0	0
8514	7006	1	Malachite	0	0	0	0	0	0	0	0
8515	7007	1	Obsidian	0	0	0	0	0	0	0	0
8516	7008	1	Jade	0	0	0	0	0	0	0	0
8517	7009	1	Gold	0	0	0	0	0	0	0	0
8518	8001	1	Frost Core	0	0	0	0	0	0	0	0
8519	8002	1	Lava Core	0	0	0	0	0	0	0	0
8520	8003	1	Blast Core	0	0	0	0	0	0	0	0
8521	8004	1	Storm Core	0	0	0	0	0	0	0	0
8522	9001	1	Karma Core	0	0	0	0	0	0	0	0
