INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
10206	Swath of Destruction VI	0	0	0	200	0	0	0	500	3000	1	0	1	1	45	0.003	4	2	4	3	10	744	1	26400	0		40202+40201	0	Damage and scatter enemies with a flaming offensive dash. Sets enemies on Fire.	Damage, knockback to enemies in dash path and burn for 3s.				[ff0000]Ignition:[-]	Knocks back enemies	[ff0000]Human Fireball:[-]	Enemies are set on fire for 3 sec.	Damage increased.	Swath of Destruction 
10301	Seeing Red I	0	3	-1	300	0	0	0	0	10000	1	0	1	1	0	0	4	1	1	0	5	24	1	560	0	40301		0	Draw strength from anger to increase damage and improve all Prowess abilities.	Increases POWER for 10s. Increases attack damage and improves all Prowess abilities.									Seeing Red
10302	Seeing Red II	0	3	-1	300	0	0	0	0	10000	1	0	1	1	0	0	4	1	1	0	5	168	1	960	0	40302		0	Draw strength from anger to increase damage and improve all Prowess abilities.	Increases POWER for 10s. Increases attack damage and improves all Prowess abilities.								Increased POWER.	Seeing Red
10303	Seeing Red III	0	3	-1	300	0	0	0	0	12000	1	0	1	1	0	0	4	1	1	0	5	312	1	2560	0	40303		0	Draw strength from anger to increase damage and improve all Prowess abilities.	Increases POWER for 12s. Increases attack damage and improves all Prowess abilities.				[ff0000]Blind Rage:[-]	Improves POWER increase. Duration is increased.			Blind Rage added. 	Seeing Red
10304	Seeing Red IV	0	3	-1	300	0	0	0	0	14000	1	0	1	1	0	0	4	1	1	0	5	456	1	8800	0	40304		0	Draw strength from anger to increase damage and improve all Prowess abilities.	Increases POWER for 14s. Increases attack damage and improves all Prowess abilities.				[ff0000]Blind Rage:[-]	Improves POWER increase. Duration is increased.			Duration increased.	Seeing Red
10305	Seeing Red V	0	3	-1	300	0	0	0	0	14000	1	0	1	1	0	0	4	1	1	0	5	600	1	15200	0	40305		0	Draw strength from anger to increase damage and attack speed. Improves all Prowess abilities.	Increases POWER for 14s. Increases attack damage, attack speed and improves all Prowess abilities.				[ff0000]Blind Rage:[-]	Improves POWER increase.	[ff0000]Wild Soul:[-]	Attack Speed increased.	Wild Soul added. 	Seeing Red
10306	Seeing Red VI	0	3	-1	300	0	0	0	0	14000	1	0	1	1	0	0	4	1	1	0	5	696	1	25200	0	40306		0	Draw strength from anger to increase damage and attack speed. Improves all Prowess abilities.	Increases POWER for 14s. Increases attack damage, attack speed and improves all Prowess abilities.				[ff0000]Blind Rage:[-]	Improves POWER increase.	[ff0000]Wild Soul:[-]	Attack Speed increased.	Attack Speed further increased.	Seeing Red
10401	Hungry Cleave I	0	0	-1	200	133	0	0	500	3000	1	0	1	1	12	0.008	4	2	2	0	3	48	1	560	0	40401		0	Steal health while damaging multiple enemies with a powerful horizontal slash.	Heal for 90% of damage delivered. 3 yard range.									Hungry Cleave
10402	Hungry Cleave II	0	0	-1	200	133	0	0	500	3000	1	0	1	1	15	0.008	4	2	2	0	3	192	1	1120	0	40402		0	Steal health while damaging multiple enemies with a powerful horizontal slash.	Heal for 90% of damage delivered. 3 yard range.								Damage increased.	Hungry Cleave
10403	Hungry Cleave III	0	0	-1	200	133	0	0	500	3000	1	0	1	1	15	0.008	4	2	2	0	3	336	1	1760	0	40403		0	Steal health while damaging multiple enemies with a powerful horizontal slash.	Heal for 95% of damage delivered. 3 yard range.				[ff0000]Ravenous:[-]	Healing bonus is increased.			Ravenous added. 	Hungry Cleave
10404	Hungry Cleave IV	0	0	-1	200	133	0	0	500	3000	1	0	1	1	21	0.008	4	2	2	0	3	480	1	7600	0	40404		0	Steal health while damaging multiple enemies with a powerful horizontal slash.	Heal for 95% of damage delivered. 3 yard range.				[ff0000]Ravenous:[-]	Healing bonus is increased.			Damage increased.	Hungry Cleave
10405	Hungry Cleave V	0	0	-1	200	133	0	0	500	3000	1	0	1	1	21	0.01	4	2	2	0	4	624	1	16400	0	40405		0	Steal health while damaging multiple enemies with a powerful horizontal slash.	Heal for 95% of damage delivered. 4 yard range.				[ff0000]Ravenous:[-]	Healing bonus is increased.	[ff0000]Gluttony:[-]	Damage and range are increased.	Gluttony added. 	Hungry Cleave
10406	Hungry Cleave VI	0	0	-1	200	133	0	0	500	3000	1	0	1	1	30	0.01	4	2	2	0	4	720	1	26000	0	40406		0	Steal health while damaging multiple enemies with a powerful horizontal slash.	Heal for 95% of damage delivered. 4 yard range.				[ff0000]Ravenous:[-]	Healing bonus is increased.	[ff0000]Gluttony:[-]	Damage and range are increased.	Damage increased.	Hungry Cleave
10501	Rain of Blows I	0	0	-1	200	0	0	0	500	4000	3	150	1	1	5	0.007	4	2	5	0	4	24	1	720	0			0	Damage multiple enemies with a rapid melee assault. 	Damage all enemies in range.									Rain of Blows
10502	Rain of Blows II	0	0	-1	200	0	0	0	500	4000	3	150	1	1	8	0.007	4	2	5	0	4	168	1	1280	0			0	Damage multiple enemies with a rapid melee assault. 	Damage all enemies in range.								Damage increased.	Rain of Blows
10503	Rain of Blows III	0	0	-1	300	0	0	0	500	4000	3	150	1	1	8	0.008	4	2	5	0	4	312	1	2160	0		40501	0	Damage and stun multiple enemies with a rapid melee assault. 	Damage and stun all enemies for 2.5s in range.				[ff0000]Concuss:[-]	Stun affected enemies.			Concuss added. 	Rain of Blows
10504	Rain of Blows IV	0	0	-1	300	0	0	0	500	4000	3	150	1	1	14	0.008	4	2	5	0	4	456	1	10000	0		40501	0	Damage and stun multiple enemies with a rapid melee assault. 	Damage and stun all enemies for 2.5s in range.				[ff0000]Concuss:[-]	Stun affected enemies.			Damage increased.	Rain of Blows
10505	Rain of Blows V	0	0	-1	300	0	0	0	500	4000	3	150	1	1	14	0.008	4	2	5	0	4	600	1	17600	0		40502+40501	0	Damage, stun and burn multiple enemies with a rapid melee assault.	Damage all enemies, stun for 2.5s and burn for 3s in range.				[ff0000]Concuss:[-]	Stun affected enemies.	[ff0000]Flametongue:[-]	Enemies are set on fire for 3 sec.	Flametongue added. 	Rain of Blows
10506	Rain of Blows VI	0	0	-1	300	0	0	0	500	4000	3	150	1	1	20	0.009	4	2	5	0	4	696	1	28800	0		40502+40501	0	Damage, stun and burn multiple enemies with a rapid melee assault.	Damage all enemies, stun for 2.5s and burn for 3s in range.				[ff0000]Concuss:[-]	Stun affected enemies.	[ff0000]Flametongue:[-]	Enemies are set on fire for 3 sec.	Damage increased.	Rain of Blows
10601	Shockwave I	0	0	-1	200	333	0	0	500	3000	1	0	1	1	20	0.004	4	1	1	0	5	48	1	1040	0		40601	0	Slam into the ground from above, creating a damaging tremor.	Damage, knockback to circular area. 5 yard range.									Shockwave
10602	Shockwave II	0	0	-1	200	333	0	0	500	3000	1	0	1	1	23	0.004	4	1	1	0	5	192	1	1840	0		40601	0	Slam into the ground from above, creating a damaging tremor.	Damage, knockback to circular area. 5 yard range.								Damage increased.	Shockwave
10603	Shockwave III	0	0	-1	200	333	0	0	500	3000	1	0	1	1	23	0.004	4	1	1	0	6	336	1	3600	0		40601	0	Slam into the ground from above, creating a damaging tremor.	Damage, knockback to circular area. 6 yard range.				[ff0000]Aftershock:[-]	Area of effect is increased.			Aftershock added. 	Shockwave
10604	Shockwave IV	0	0	-1	200	333	0	0	500	3000	1	0	1	1	29	0.004	4	1	1	0	6	480	1	6800	0		40601	0	Slam into the ground from above, creating a damaging tremor.	Damage, knockback to circular area. 6 yard range.				[ff0000]Aftershock:[-]	Area of effect is increased.			Damage increased.	Shockwave
10605	Shockwave V	0	0	2	200	333	0	0	500	3000	1	0	1	1	29	0.004	4	1	1	0	6	624	1	16400	0		40601	0	Slam into the ground from above, creating a blast damaging tremor.	Damage, knockback to circular area. 6 yard range.				[ff0000]Aftershock:[-]	Area of effect is increased.	[ff0000]Collateral:[-]	Enemies take Blast damage.	Collateral added. 	Shockwave
10606	Shockwave VI	0	0	2	200	333	0	0	500	3000	1	0	1	1	35	0.004	4	1	1	0	6	720	1	30800	0		40601	0	Slam into the ground from above, creating a blast damaging tremor.	Damage, knockback to circular area. 6 yard range.				[ff0000]Aftershock:[-]	Area of effect is increased.	[ff0000]Collateral:[-]	Enemies take Blast damage.	Damage increased.	Shockwave
10701	Meteor Rain I	0	0	2	400	0	0	0	500	5000	1	0	1	1	0	0	4	1	1	0	10	120	1	1200	10701			0	A flaming meteor shower hits the target area, decimating enemy groups.	Damage all enemies for 2.1s in area of effect. 5.6 yard radius.									Meteor Rain
10702	Meteor Rain II	0	0	2	400	0	0	0	500	5000	1	0	1	1	0	0	4	1	1	0	10	264	1	2160	10702			0	A flaming meteor shower hits the target area, decimating enemy groups.	Damage all enemies for 2.1s in area of effect. 5.6 yard radius.								Damage increased.	Meteor Rain
10703	Meteor Rain III	0	0	2	400	0	0	0	500	5000	1	0	1	1	0	0	4	1	1	0	10	408	1	4000	10703			0	A flaming meteor shower hits the target area, decimating enemy groups.	Damage all enemies for 2.1s in area of effect. 5.6 yard radius.				[ff0000]Magma Storm:[-]	Duration is increased.			Magma Storm added. 	Meteor Rain
10704	Meteor Rain IV	0	0	2	400	0	0	0	500	5000	1	0	1	1	0	0	4	1	1	0	10	552	1	8240	10704			0	A flaming meteor shower hits the target area, decimating enemy groups.	Damage all enemies for 2.1s in area of effect. 5.6 yard radius.				[ff0000]Magma Storm:[-]	Duration is increased.			Damage increased.	Meteor Rain
10705	Meteor Rain V	0	0	2	400	0	0	0	500	5000	1	0	1	1	0	0	4	1	1	0	10	696	1	17600	10705			0	A flaming meteor shower hits the target area, decimating enemy groups.	Damage all enemies for 3.1s and slow for 3.1s in area of effect. 6.7 yard radius.				[ff0000]Magma Storm:[-]	Duration is increased.	[ff0000]Blistering Heat:[-]	Area of effect is increased. Enemies are slowed.	Blistering Heat added. 	Meteor Rain
10706	Meteor Rain VI	0	0	2	400	0	0	0	500	5000	1	0	1	1	0	0	4	1	1	0	10	792	1	31600	10706			0	A flaming meteor shower hits the target area, decimating enemy groups.	Damage all enemies for 3.1s and slow for 4.1s in area of effect. 6.7 yard radius.				[ff0000]Magma Storm:[-]	Duration is increased.	[ff0000]Blistering Heat:[-]	Area of effect is increased. Enemies are slowed.	Slow duration increased.	Meteor Rain
10801	Skin of Stone I	0	3	-1	300	0	0	0	0	10000	1	0	1	1	0	0	5	1	1	0	5	24	2	560	0	40801		0	Stone armor provides increased Defense and improves all Fortitude abilities.	Increases DEFENSE for 10s. Increases armor and improves all Fortitude abilities.									Skin of Stone
10802	Skin of Stone II	0	3	-1	300	0	0	0	0	10000	1	0	1	1	0	0	5	1	1	0	5	168	2	960	0	40802		0	Stone armor provides increased Defense and improves all Fortitude abilities.	Increases DEFENSE for 10s. Increases armor and improves all Fortitude abilities.								Increased DEFENSE.	Skin of Stone
10803	Skin of Stone III	0	3	-1	300	0	0	0	0	12000	1	0	1	1	0	0	5	1	1	0	5	312	2	1760	0	40803		0	Stone armor provides increased Defense and Element resistance. Improves all Fortitude abilities.	Increases DEFENSE and Element resistance for 12s. Increases armor and improves all Fortitude abilities.				[ff0000]Stalwart:[-]	Provides resistance to all elements.			Stalwart added. 	Skin of Stone
10804	Skin of Stone IV	0	3	-1	300	0	0	0	0	14000	1	0	1	1	0	0	5	1	1	0	5	456	2	10000	0	40804		0	Stone armor provides increased Defense and Element resistance. Improves all Fortitude abilities.	Increases DEFENSE and Element resistance for 14s. Increases armor and improves all Fortitude abilities.				[ff0000]Stalwart:[-]	Provides resistance to all elements.			Duration increased.	Skin of Stone
10805	Skin of Stone V	0	3	-1	300	0	0	0	0	14000	1	0	1	1	0	0	5	1	1	0	5	600	2	19200	0	40805	40815	0	Stone armor provides increased Defense and Element resistance. Improves all Fortitude abilities.	Increases DEFENSE and Element resistance for 14s. Increases armor and improves all Fortitude abilities. Enemies have a 5% chance to be stunned for 1.5s when attacking player.				[ff0000]Stalwart:[-]	Provides resistance to all elements.	[ff0000]Jarring:[-]	Chance to stun attackers.	Jarring added. 	Skin of Stone
10806	Skin of Stone VI	0	3	-1	300	0	0	0	0	14000	1	0	1	1	0	0	5	1	1	0	5	696	2	29600	0	40806	40816	0	Stone armor provides increased Defense and Element resistance. Improves all Fortitude abilities.	Increases DEFENSE and Element resistance for 14s. Increases armor and improves all Fortitude abilities. Enemies have a 10% chance to be stunned for 1.5s when attacking player.				[ff0000]Stalwart:[-]	Provides resistance to all elements.	[ff0000]Jarring:[-]	Chance to stun attackers.	Chance to stun increased.	Skin of Stone
10901	Haunting Scream I	0	0	-1	200	0	0	0	500	5000	1	0	1	1	0	0	5	1	1	0	6	72	2	880	0		40901	0	An unearthly scream causes enemies to flee from battle.	Affected enemies flee for 4s. 6 yard range.									Haunting Scream
10902	Haunting Scream II	0	0	-1	200	0	0	0	500	5000	1	0	1	1	0	0	5	1	1	0	8	216	2	1440	0		40902	0	An unearthly scream causes enemies to flee from battle.	Affected enemies flee for 4s. 8 yard range.								Area of effect increased.	Haunting Scream
10903	Haunting Scream III	0	0	-1	200	0	0	0	500	5000	1	0	1	1	0	0	5	1	1	0	8	360	2	2400	0		40903	0	An unearthly scream causes enemies to flee from battle.	Affected enemies flee for 5s. 8 yard range.				[ff0000]Torment:[-]	Flee duration increased.			Torment added. 	Haunting Scream
10904	Haunting Scream IV	0	0	-1	200	0	0	0	500	5000	1	0	1	1	0	0	5	1	1	0	8	504	2	7600	0		40904	0	An unearthly scream causes enemies to flee from battle.	Affected enemies flee for 5.5s. 8 yard range.				[ff0000]Torment:[-]	Flee duration increased.			Duration increased.	Haunting Scream
10905	Haunting Scream V	0	0	-1	200	0	0	0	500	5000	1	0	1	1	10	0.003	5	1	1	0	8	648	2	14880	0		40905	0	An unearthly scream causes enemies to flee from battle. Enemies take damage. 	Damage and affected enemies flee for 5.5s. 8 yard range.				[ff0000]Torment:[-]	Flee duration increased.	[ff0000]Banshee:[-]	Enemies take damage.	Banshee added. 	Haunting Scream
10906	Haunting Scream VI	0	0	-1	200	0	0	0	500	5000	1	0	1	1	15	0.004	5	1	1	0	8	744	2	23680	0		40906	0	An unearthly scream causes enemies to flee from battle. Enemies take damage. 	Damage and affected enemies flee for 5.5s. 8 yard range.				[ff0000]Torment:[-]	Flee duration increased.	[ff0000]Banshee:[-]	Enemies take damage.	Damage increased.	Haunting Scream
11001	Iron Thorns I	0	3	-1	200	0	0	0	0	10000	1	0	1	1	0	0	5	0	0	0	5	24	2	560	0		41001	0	Attackers are impaled on deadly iron thorns.	Damage to attackers. Last for 10s.									Iron Thorns
11002	Iron Thorns II	0	3	-1	200	0	0	0	0	10000	1	0	1	1	0	0	5	0	0	0	5	168	2	960	0		41002	0	Attackers are impaled on deadly iron thorns.	Damage to attackers. Last for 10s.								Damage increased.	Iron Thorns
11003	Iron Thorns III	0	3	-1	200	0	0	0	0	12000	1	0	1	1	0	0	5	0	0	0	5	312	2	1760	0		41003	0	Attackers are impaled on deadly iron thorns.	Damage to attackers. Last for 12s.				[ff0000]Bramble:[-]	Duration and damage increased.			Bramble added. 	Iron Thorns
11004	Iron Thorns IV	0	3	-1	200	0	0	0	0	12000	1	0	1	1	0	0	5	0	0	0	5	456	2	10000	0		41004	0	Attackers are impaled on deadly iron thorns.	Damage to attackers. Last for 14s.				[ff0000]Bramble:[-]	Duration and damage increased.			Duration increased.	Iron Thorns
11005	Iron Thorns V	0	3	-1	200	0	0	0	0	12000	1	0	1	1	0	0	5	0	0	0	5	600	2	18000	0		41005	0	Attackers are impaled on poisonous iron thorns.	Damage and have 20% chance to poison attackers. Last for 14s.				[ff0000]Bramble:[-]	Duration and damage increased.	[ff0000]Ivy:[-]	Chance to poison attackers.	Ivy added.	Iron Thorns
11006	Iron Thorns VI	0	3	-1	200	0	0	0	0	12000	1	0	1	1	0	0	5	0	0	0	5	696	2	30800	0		41006	0	Attackers are impaled on poisonous iron thorns.	Damage and have 30% chance to poison attackers. Last for 14s.				[ff0000]Bramble:[-]	Duration and damage increased.	[ff0000]Ivy:[-]	Chance to poison attackers.	Chance to poison increased.	Iron Thorns
11101	Ring of Frost I	0	0	1	200	333	0	0	0	3000	1	0	1	1	10	0.003	5	1	1	0	6	48	2	1200	0		41101	0	A freezing ring of ice bursts from below, slowing enemies and causing frost damage.	Damage and slow all enemies for 4s in the area of effect. 6 yard range.									Ring of Frost
11102	Ring of Frost II	0	0	1	200	333	0	0	0	3000	1	0	1	1	13	0.003	5	1	1	0	6	192	2	1760	0		41102	0	A freezing ring of ice bursts from below, slowing enemies and causing frost damage.	Damage and slow all enemies for 4s in the area of effect. 6 yard range.								Damage increased.	Ring of Frost
11103	Ring of Frost III	0	0	1	200	333	0	0	0	3000	1	0	1	1	13	0.004	5	1	1	0	6	336	2	3200	0		41103	0	A freezing ring of ice bursts from below, slowing enemies and causing frost damage.	Damage and slow all enemies for 5s in the area of effect. 6 yard range.				[ff0000]Chilled:[-]	Damage and slow duration increased.			Chilled added. 	Ring of Frost
11104	Ring of Frost IV	0	0	1	200	333	0	0	0	3000	1	0	1	1	13	0.004	5	1	1	0	6	480	2	10160	0		41104	0	A freezing ring of ice bursts from below, slowing enemies and causing frost damage.	Damage and slow all enemies for 5s in the area of effect. 6 yard range.				[ff0000]Chilled:[-]	Damage and slow duration increased.			Damage increased.	Ring of Frost
11105	Ring of Frost V	0	0	1	300	333	0	0	0	3000	1	0	1	1	13	0.007	5	1	1	0	7	624	2	20000	0		41115+41105	0	A freezing ring of ice bursts from below, slowing enemies and causing frost damage. Provides increased flame element resistance.	Damage and slow all enemies for 5s in the area of effect. 7 yard range. Provides increased flame element resistance for 7s.				[ff0000]Chilled:[-]	Damage and slow duration increased.	[ff0000]Frostheart:[-]	Area of effect increased. Provides Flame element resistance for set duration.	Frostheart added. 	Ring of Frost
11106	Ring of Frost VI	0	0	1	300	333	0	0	0	3000	1	0	1	1	13	0.007	5	1	1	0	7	720	2	30000	0		41116+41106	0	A freezing ring of ice bursts from below, slowing enemies and causing frost damage. Provides increased flame element resistance.	Damage and slow all enemies for 5s in the area of effect. 7 yard range. Provides increased flame element resistance for 10s.				[ff0000]Chilled:[-]	Damage and slow duration increased.	[ff0000]Frostheart:[-]	Area of effect increased. Provides Flame element resistance for set duration.	Resistance duration increased.	Ring of Frost
11201	Chi Prayer I	0	3	-1	300	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	120	2	1040	0		41201	0	Increases health regeneration rate, ideal for prolonged battles.	Provides large amount of healing for 15s.									Chi Prayer
11202	Chi Prayer II	0	3	-1	300	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	264	2	1920	0		41202	0	Increases health regeneration rate, ideal for prolonged battles.	Provides large amount of healing for 15s.								Base healing power increased.	Chi Prayer
11203	Chi Prayer III	0	3	-1	300	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	408	2	3840	0		41203	0	Increases health regeneration rate, ideal for prolonged battles.	Provides large amount of healing for 15s.				[ff0000]Meditation:[-]	Healing power increased.			Meditation added. 	Chi Prayer
11204	Chi Prayer IV	0	3	-1	300	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	552	2	7600	0		41204	0	Increases health regeneration rate, ideal for prolonged battles.	Provides large amount of healing for 15s.				[ff0000]Meditation:[-]	Healing power increased.			Base healing power increased.	Chi Prayer
11205	Chi Prayer V	0	3	-1	300	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	696	2	14800	0		41205	0	Increases health and energy regeneration rate, ideal for prolonged battles.	Provides large amount of healing and energy regeration for 15s.				[ff0000]Meditation:[-]	Healing power increased.	[ff0000]Inner Balance:[-]	Also regenerates energy.	Inner Balance added. 	Chi Prayer
11206	Chi Prayer VI	0	3	-1	300	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	792	2	32400	0		41206	0	Increases health and energy regeneration rate, ideal for prolonged battles.	Provides large amount of healing and energy regeration for 15s.				[ff0000]Meditation:[-]	Healing power increased.	[ff0000]Inner Balance:[-]	Also regenerates energy.	Base healing power increased.	Chi Prayer
11301	Chi Mend I	0	3	-1	200	0	0	0	500	1500	1	0	1	1	0	0	5	1	1	0	3	48	2	720	0		41301	0	Instantly recover health, for first aid in the heat of battle.	Heal for set amount.									Chi Mend
11302	Chi Mend II	0	3	-1	200	0	0	0	500	1500	1	0	1	1	0	0	5	1	1	0	3	192	2	1280	0		41302	0	Instantly recover health, for first aid in the heat of battle.	Heal for set amount.								Base healing power increased.	Chi Mend
11303	Chi Mend III	0	3	-1	200	0	0	0	500	1500	1	0	1	1	0	0	5	1	1	0	3	336	2	2160	0		41303	0	Instantly recover health and increase defense, for first aid in the heat of battle.	Heal for set amount and increase defense.				[ff0000]Resolve:[-]	Healing power increased. Also increases DEFENSE for set duration.			Resolve added. 	Chi Mend
11304	Chi Mend IV	0	3	-1	200	0	0	0	500	1500	1	0	1	1	0	0	5	1	1	0	3	480	2	7600	0		41304	0	Instantly recover health and increase defense, for first aid in the heat of battle.	Heal for set amount and increase defense.				[ff0000]Resolve:[-]	Healing power increased. Also increases DEFENSE for set duration.			DEFENSE increased.	Chi Mend
11305	Chi Mend V	0	3	-1	200	0	0	0	500	1500	1	0	1	1	0	0	5	1	1	0	3	624	2	16000	0		41305	0	Instantly recover health and increase defense, for first aid in the heat of battle. Provides increased movement speed.	Heal for set amount. Increase defense and movement speed.				[ff0000]Resolve:[-]	Healing power increased. Also increases DEFENSE for set duration.	[ff0000]Retreat:[-]	Movement speed increased for set duration.	Retreat added. 	Chi Mend
11306	Chi Mend VI	0	3	-1	200	0	0	0	500	1500	1	0	1	1	0	0	5	1	1	0	3	720	2	30400	0		41306	0	Instantly recover health and increase defense, for first aid in the heat of battle. Provides increased movement speed.	Heal for set amount. Increase defense and movement speed.				[ff0000]Resolve:[-]	Healing power increased. Also increases DEFENSE for set duration.	[ff0000]Retreat:[-]	Movement speed increased for set duration.	Movement speed increased.	Chi Mend
11401	Steady Shot I	2	0	-1	150	0	733	20	500	0	1	0	1	1	20	0.002	6	0	0	0	20	24	4	560	0			0	A carefully aimed shot damages a single enemy. Charge for more damage.	Damage a single enemy. Charge for greater damage.									Steady Shot
11402	Steady Shot II	2	0	-1	150	0	733	20	500	0	1	0	1	1	25	0.002	6	0	0	0	20	168	4	960	0			0	A carefully aimed shot damages a single enemy. Charge for more damage.	Damage a single enemy. Charge for greater damage.								Damage increased.	Steady Shot
11403	Steady Shot III	2	0	-1	150	0	733	20	500	0	1	0	1	1	25	0.002	6	0	0	0	20	312	4	1760	0		41413	0	A carefully aimed shot stuns and damages a single enemy. Charge for more damage.	Damage a single enemy and stun for 2s. Charge for greater damage.				[ff0000]Blinding:[-]	Targeted enemy will also be stunned.			Blinding added. 	Steady Shot
11404	Steady Shot IV	2	0	-1	150	0	733	20	500	0	1	0	1	1	25	0.002	6	0	0	0	20	456	4	7760	0		41414	0	A carefully aimed shot stuns and damages a single enemy. Charge for more damage.	Damage a single enemy and stun for 3s. Charge for greater damage.				[ff0000]Blinding:[-]	Targeted enemy will also be stunned.			Stun duration increased.	Steady Shot
11405	Steady Shot V	2	0	-1	150	0	733	20	500	0	1	0	1	1	25	0.002	6	0	0	0	20	600	4	14080	0		41415+41414	0	A carefully aimed shot stuns, damages and slows a single enemy. Charge for more damage.	Damage a single enemy, stun for 3s and slow for 5s. Charge for greater damage.				[ff0000]Blinding:[-]	Targeted enemy will also be stunned.	[ff0000]Knee Shot:[-]	Affected enemy is slowed.	Knee Shot added. 	Steady Shot
11406	Steady Shot VI	2	0	-1	150	0	733	20	500	0	1	0	1	1	25	0.002	6	0	0	0	20	696	4	23680	0		41416+41414	0	A carefully aimed shot stuns, damages and slows a single enemy. Charge for more damage.	Damage a single enemy, stun for 3s and slow for 6.5s. Charge for greater damage.				[ff0000]Blinding:[-]	Targeted enemy will also be stunned.	[ff0000]Knee Shot:[-]	Affected enemy is slowed.	Slow duration increased.	Steady Shot
12101	Dark Hunter I	0	3	-1	300	0	0	0	500	10000	1	0	1	1	0	0	6	1	1	0	6	24	4	560	0	42101		0	Channel the lethal precision of the Dark Huntsman to increase Skill and improve all Cunning abilities.	Increases SKILL for 10s. Increases Crit Chance and improves all Cunning abilities.									Dark Hunter
12102	Dark Hunter II	0	3	-1	300	0	0	0	500	10000	1	0	1	1	0	0	6	1	1	0	6	168	4	960	0	42102		0	Channel the lethal precision of the Dark Huntsman to increase Skill and improve all Cunning abilities.	Increases SKILL for 10s. Increases Crit Chance and improves all Cunning abilities.								SKILL increased.	Dark Hunter
