INT	STRING	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	STRING	STRING	INT	STRING
1301	Jade	2	1	7	0.2	5	0	3	Stat Boost: 	All +3	9	Jade 
1302	Jade II	1	1	7	0.2	5	0	6	Stat Boost: 	All +6	9	Jade 
1303	Jade III	0	1	7	0.2	5	0	9	Stat Boost: 	All +9	9	Jade 
1304	Jade IV	0	1	7	0.2	5	0	12	Stat Boost: 	All +12	9	Jade 
1305	Jade V	0	1	7	0.2	5	0	15	Stat Boost: 	All +15	9	Jade 
1306	Jade VI	0	1	7	0.2	5	0	18	Stat Boost: 	All +18	9	Jade 
1307	Jade VII	0	1	7	0.2	5	0	21	Stat Boost: 	All +21	9	Jade 
1308	Jade VIII	0	1	7	0.2	5	0	24	Stat Boost: 	All +24	9	Jade 
1309	Jade IX	0	1	7	0.2	5	0	27	Stat Boost: 	All +27	9	Jade 
1310	Jade X	0	1	7	0.2	5	0	30	Stat Boost: 	All +30	9	Jade 
100	Meteor 	0	1	7	0.2	5	0	30	Stat Boost: 	All +10	7	Meteor 
101	Steam Gem 	0	1	7	0.2	5	0	27	Stat Boost: 	All +27	9	Steam 
999	Ancient Jade	0	3	8	0.5	0.05	0	5	5% boost to 	Mission XP	9	Ancient 
