INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
10303	Seeing Red III	0	3	-1	400	0	0	0	0	12000	1	0	1	1	0	0	4	1	1	0	5	390	1	3200	0	40303		20	Draw strength from anger to increase damage and improve all Prowess abilities.	Increases POWER for 12s. Increases attack damage and improves all Prowess abilities.				Blind Rage	Improves POWER increase. Duration is increased.			Blind Rage added. 	Seeing Red	2
10304	Seeing Red IV	0	3	-1	400	0	0	0	0	14000	1	0	1	1	0	0	4	1	1	0	5	570	1	11000	0	40304		60	Draw strength from anger to increase damage and improve all Prowess abilities.	Increases POWER for 14s. Increases attack damage and improves all Prowess abilities.				Blind Rage	Improves POWER increase. Duration is increased.			Duration increased.	Seeing Red	2
10305	Seeing Red V	0	3	-1	400	0	0	0	0	14000	1	0	1	1	0	0	4	1	1	0	5	750	1	19000	0	40305		120	Draw strength from anger to increase damage and attack speed. Improves all Prowess abilities.	Increases POWER for 14s. Increases attack damage, attack speed and improves all Prowess abilities.				Blind Rage	Improves POWER increase.	Wild Soul	Attack Speed increased.	Wild Soul added. 	Seeing Red	2
10306	Seeing Red VI	0	3	-1	400	0	0	0	0	14000	1	0	1	1	0	0	4	1	1	0	5	870	1	31500	0	40306		240	Draw strength from anger to increase damage and attack speed. Improves all Prowess abilities.	Increases POWER for 14s. Increases attack damage, attack speed and improves all Prowess abilities.				Blind Rage	Improves POWER increase.	Wild Soul	Attack Speed increased.	Attack Speed further increased.	Seeing Red	2
10401	Hungry Cleave I	0	0	-1	200	133	0	0	500	500	1	0	1	1	12	0.008	4	2	2	0	3	60	1	700	0	40401		5	Steal health while damaging multiple enemies with a powerful horizontal slash.	Heal for 90% of damage delivered. 3 yard range.									Hungry Cleave	3
10402	Hungry Cleave II	0	0	-1	200	133	0	0	500	500	1	0	1	1	15	0.008	4	2	2	0	3	240	1	1400	0	40402		10	Steal health while damaging multiple enemies with a powerful horizontal slash.	Heal for 90% of damage delivered. 3 yard range.								Damage increased.	Hungry Cleave	3
10403	Hungry Cleave III	0	0	-1	300	133	0	0	500	500	1	0	1	1	15	0.008	4	2	2	0	3	420	1	2200	0	40403		20	Steal health while damaging multiple enemies with a powerful horizontal slash.	Heal for 95% of damage delivered. 3 yard range.				Ravenous	Healing bonus is increased.			Ravenous added. 	Hungry Cleave	3
10404	Hungry Cleave IV	0	0	-1	300	133	0	0	500	500	1	0	1	1	21	0.008	4	2	2	0	3	600	1	9500	0	40404		60	Steal health while damaging multiple enemies with a powerful horizontal slash.	Heal for 95% of damage delivered. 3 yard range.				Ravenous	Healing bonus is increased.			Damage increased.	Hungry Cleave	3
10405	Hungry Cleave V	0	0	-1	300	133	0	0	500	500	1	0	1	1	21	0.01	4	2	2	0	4	780	1	20500	0	40405		120	Steal health while damaging multiple enemies with a powerful horizontal slash.	Heal for 95% of damage delivered. 4 yard range.				Ravenous	Healing bonus is increased.	Gluttony	Damage and range are increased.	Gluttony added. 	Hungry Cleave	3
10406	Hungry Cleave VI	0	0	-1	300	133	0	0	500	500	1	0	1	1	30	0.01	4	2	2	0	4	900	1	32500	0	40406		240	Steal health while damaging multiple enemies with a powerful horizontal slash.	Heal for 95% of damage delivered. 4 yard range.				Ravenous	Healing bonus is increased.	Gluttony	Damage and range are increased.	Damage increased.	Hungry Cleave	3
10501	Rain of Blows I	0	0	-1	300	0	0	0	500	500	3	150	1	1	5	0.007	4	2	5	0	4	30	1	900	0			5	Damage multiple enemies with a rapid melee assault. 	Damage all enemies in range.									Rain of Blows	4
10502	Rain of Blows II	0	0	-1	300	0	0	0	500	500	3	150	1	1	8	0.007	4	2	5	0	4	210	1	1600	0			10	Damage multiple enemies with a rapid melee assault. 	Damage all enemies in range.								Damage increased.	Rain of Blows	4
10503	Rain of Blows III	0	0	-1	400	0	0	0	500	500	3	150	1	1	8	0.008	4	2	5	0	4	390	1	2700	0		40501	20	Damage and stun multiple enemies with a rapid melee assault. 	Damage and stun all enemies for 2.5s in range.				Concuss	Stun affected enemies.			Concuss added. 	Rain of Blows	4
10504	Rain of Blows IV	0	0	-1	400	0	0	0	500	500	3	150	1	1	14	0.008	4	2	5	0	4	570	1	12500	0		40501	60	Damage and stun multiple enemies with a rapid melee assault. 	Damage and stun all enemies for 2.5s in range.				Concuss	Stun affected enemies.			Damage increased.	Rain of Blows	4
10505	Rain of Blows V	0	0	-1	400	0	0	0	500	500	3	150	1	1	14	0.008	4	2	5	0	4	750	1	22000	0		40502+40501	120	Damage, stun and burn multiple enemies with a rapid melee assault.	Damage all enemies, stun for 2.5s and burn for 3s in range.				Concuss	Stun affected enemies.	Flametongue	Enemies are set on fire for 3 sec.	Flametongue added. 	Rain of Blows	4
10506	Rain of Blows VI	0	0	-1	400	0	0	0	500	500	3	150	1	1	20	0.009	4	2	5	0	4	870	1	36000	0		40502+40501	240	Damage, stun and burn multiple enemies with a rapid melee assault.	Damage all enemies, stun for 2.5s and burn for 3s in range.				Concuss	Stun affected enemies.	Flametongue	Enemies are set on fire for 3 sec.	Damage increased.	Rain of Blows	4
10601	Shockwave I	0	0	-1	300	333	0	0	500	1000	1	0	1	1	20	0.004	4	1	1	0	5	60	1	1300	0		40601	5	Slam into the ground from above, creating a damaging tremor.	Damage, knockback to circular area. 5 yard range.									Shockwave	5
10602	Shockwave II	0	0	-1	300	333	0	0	500	1000	1	0	1	1	23	0.004	4	1	1	0	5	240	1	2300	0		40601	10	Slam into the ground from above, creating a damaging tremor.	Damage, knockback to circular area. 5 yard range.								Damage increased.	Shockwave	5
10603	Shockwave III	0	0	-1	300	333	0	0	500	1000	1	0	1	1	23	0.004	4	1	1	0	6	420	1	4500	0		40601	20	Slam into the ground from above, creating a damaging tremor.	Damage, knockback to circular area. 6 yard range.				Aftershock	Area of effect is increased.			Aftershock added. 	Shockwave	5
10604	Shockwave IV	0	0	-1	300	333	0	0	500	1000	1	0	1	1	29	0.004	4	1	1	0	6	600	1	8500	0		40601	60	Slam into the ground from above, creating a damaging tremor.	Damage, knockback to circular area. 6 yard range.				Aftershock	Area of effect is increased.			Damage increased.	Shockwave	5
10605	Shockwave V	0	0	2	300	333	0	0	500	1000	1	0	1	1	29	0.004	4	1	1	0	6	780	1	20500	0		40601	120	Slam into the ground from above, creating a blast damaging tremor.	Damage, knockback to circular area. 6 yard range.				Aftershock	Area of effect is increased.	Collateral	Enemies take Blast damage.	Collateral added. 	Shockwave	5
10606	Shockwave VI	0	0	2	300	333	0	0	500	1000	1	0	1	1	35	0.004	4	1	1	0	6	900	1	38500	0		40601	240	Slam into the ground from above, creating a blast damaging tremor.	Damage, knockback to circular area. 6 yard range.				Aftershock	Area of effect is increased.	Collateral	Enemies take Blast damage.	Damage increased.	Shockwave	5
10701	Meteor Rain I	0	0	2	500	0	0	0	500	2000	1	0	1	1	0	0	4	1	1	0	10	150	1	1500	10701			5	A flaming meteor shower hits the target area, decimating enemy groups.	Damage all enemies for 2.1s in area of effect. 5.6 yard radius.									Meteor Rain	6
10702	Meteor Rain II	0	0	2	500	0	0	0	500	2000	1	0	1	1	0	0	4	1	1	0	10	330	1	2700	10702			10	A flaming meteor shower hits the target area, decimating enemy groups.	Damage all enemies for 2.1s in area of effect. 5.6 yard radius.								Damage increased.	Meteor Rain	6
10703	Meteor Rain III	0	0	2	600	0	0	0	500	2000	1	0	1	1	0	0	4	1	1	0	10	510	1	5000	10703			20	A flaming meteor shower hits the target area, decimating enemy groups.	Damage all enemies for 2.1s in area of effect. 5.6 yard radius.				Magma Storm	Duration is increased.			Magma Storm added. 	Meteor Rain	6
10704	Meteor Rain IV	0	0	2	600	0	0	0	500	2000	1	0	1	1	0	0	4	1	1	0	10	690	1	10300	10704			60	A flaming meteor shower hits the target area, decimating enemy groups.	Damage all enemies for 2.1s in area of effect. 5.6 yard radius.				Magma Storm	Duration is increased.			Damage increased.	Meteor Rain	6
10705	Meteor Rain V	0	0	2	600	0	0	0	500	2000	1	0	1	1	0	0	4	1	1	0	10	870	1	22000	10705			120	A flaming meteor shower hits the target area, decimating enemy groups.	Damage all enemies for 3.1s and slow for 3.1s in area of effect. 6.7 yard radius.				Magma Storm	Duration is increased.	Blistering Heat	Area of effect is increased. Enemies are slowed.	Blistering Heat added. 	Meteor Rain	6
10706	Meteor Rain VI	0	0	2	600	0	0	0	500	2000	1	0	1	1	0	0	4	1	1	0	10	990	1	39500	10706			240	A flaming meteor shower hits the target area, decimating enemy groups.	Damage all enemies for 3.1s and slow for 4.1s in area of effect. 6.7 yard radius.				Magma Storm	Duration is increased.	Blistering Heat	Area of effect is increased. Enemies are slowed.	Slow duration increased.	Meteor Rain	6
10801	Skin of Stone I	0	3	-1	400	0	0	0	0	10000	1	0	1	1	0	0	5	1	1	0	5	30	2	700	0	40801		5	Stone armor provides increased Defense and improves all Fortitude abilities.	Increases DEFENSE for 10s. Increases armor and improves all Fortitude abilities.									Skin of Stone	7
10802	Skin of Stone II	0	3	-1	400	0	0	0	0	10000	1	0	1	1	0	0	5	1	1	0	5	210	2	1200	0	40802		10	Stone armor provides increased Defense and improves all Fortitude abilities.	Increases DEFENSE for 10s. Increases armor and improves all Fortitude abilities.								Increased DEFENSE.	Skin of Stone	7
10803	Skin of Stone III	0	3	-1	400	0	0	0	0	12000	1	0	1	1	0	0	5	1	1	0	5	390	2	2200	0	40803		20	Stone armor provides increased Defense and Element resistance. Improves all Fortitude abilities.	Increases DEFENSE and Element resistance for 12s. Increases armor and improves all Fortitude abilities.				Stalwart	Provides resistance to all elements.			Stalwart added. 	Skin of Stone	7
10804	Skin of Stone IV	0	3	-1	400	0	0	0	0	14000	1	0	1	1	0	0	5	1	1	0	5	570	2	12500	0	40804		60	Stone armor provides increased Defense and Element resistance. Improves all Fortitude abilities.	Increases DEFENSE and Element resistance for 14s. Increases armor and improves all Fortitude abilities.				Stalwart	Provides resistance to all elements.			Duration increased.	Skin of Stone	7
10805	Skin of Stone V	0	3	-1	400	0	0	0	0	14000	1	0	1	1	0	0	5	1	1	0	5	750	2	24000	0	40805	40815	120	Stone armor provides increased Defense and Element resistance. Improves all Fortitude abilities.	Increases DEFENSE and Element resistance for 14s. Increases armor and improves all Fortitude abilities. Enemies have a 5% chance to be stunned for 1.5s when attacking player.				Stalwart	Provides resistance to all elements.	Jarring	Chance to stun attackers.	Jarring added. 	Skin of Stone	7
10806	Skin of Stone VI	0	3	-1	400	0	0	0	0	14000	1	0	1	1	0	0	5	1	1	0	5	870	2	37000	0	40806	40816	240	Stone armor provides increased Defense and Element resistance. Improves all Fortitude abilities.	Increases DEFENSE and Element resistance for 14s. Increases armor and improves all Fortitude abilities. Enemies have a 10% chance to be stunned for 1.5s when attacking player.				Stalwart	Provides resistance to all elements.	Jarring	Chance to stun attackers.	Chance to stun increased.	Skin of Stone	7
10901	Haunting Scream I	0	0	-1	400	0	0	0	500	1000	1	0	1	1	0	0	5	1	1	0	6	90	2	1100	0		40901	5	An unearthly scream causes enemies to flee from battle.	Affected enemies flee for 4s. 6 yard range.									Haunting Scream	8
10902	Haunting Scream II	0	0	-1	400	0	0	0	500	1000	1	0	1	1	0	0	5	1	1	0	8	270	2	1800	0		40902	10	An unearthly scream causes enemies to flee from battle.	Affected enemies flee for 4s. 8 yard range.								Area of effect increased.	Haunting Scream	8
10903	Haunting Scream III	0	0	-1	400	0	0	0	500	1000	1	0	1	1	0	0	5	1	1	0	8	450	2	3000	0		40903	20	An unearthly scream causes enemies to flee from battle.	Affected enemies flee for 5s. 8 yard range.				Torment	Flee duration increased.			Torment added. 	Haunting Scream	8
10904	Haunting Scream IV	0	0	-1	400	0	0	0	500	1000	1	0	1	1	0	0	5	1	1	0	8	630	2	9500	0		40904	60	An unearthly scream causes enemies to flee from battle.	Affected enemies flee for 5.5s. 8 yard range.				Torment	Flee duration increased.			Duration increased.	Haunting Scream	8
10905	Haunting Scream V	0	0	-1	400	0	0	0	500	1000	1	0	1	1	10	0.003	5	1	1	0	8	810	2	18600	0		40905	120	An unearthly scream causes enemies to flee from battle. Enemies take damage. 	Damage and affected enemies flee for 5.5s. 8 yard range.				Torment	Flee duration increased.	Banshee	Enemies take damage.	Banshee added. 	Haunting Scream	8
10906	Haunting Scream VI	0	0	-1	400	0	0	0	500	1000	1	0	1	1	15	0.004	5	1	1	0	8	930	2	29600	0		40906	240	An unearthly scream causes enemies to flee from battle. Enemies take damage. 	Damage and affected enemies flee for 5.5s. 8 yard range.				Torment	Flee duration increased.	Banshee	Enemies take damage.	Damage increased.	Haunting Scream	8
11001	Iron Thorns I	0	3	-1	300	0	0	0	0	10000	1	0	1	1	0	0	5	0	0	0	5	30	2	700	0		41001	5	Attackers are impaled on deadly iron thorns.	Damage to attackers. Last for 10s.									Iron Thorns	9
11002	Iron Thorns II	0	3	-1	300	0	0	0	0	10000	1	0	1	1	0	0	5	0	0	0	5	210	2	1200	0		41002	10	Attackers are impaled on deadly iron thorns.	Damage to attackers. Last for 10s.								Damage increased.	Iron Thorns	9
11003	Iron Thorns III	0	3	-1	300	0	0	0	0	12000	1	0	1	1	0	0	5	0	0	0	5	390	2	2200	0		41003	20	Attackers are impaled on deadly iron thorns.	Damage to attackers. Last for 12s.				Bramble	Duration and damage increased.			Bramble added. 	Iron Thorns	9
11004	Iron Thorns IV	0	3	-1	300	0	0	0	0	12000	1	0	1	1	0	0	5	0	0	0	5	570	2	12500	0		41004	60	Attackers are impaled on deadly iron thorns.	Damage to attackers. Last for 14s.				Bramble	Duration and damage increased.			Duration increased.	Iron Thorns	9
11005	Iron Thorns V	0	3	-1	300	0	0	0	0	12000	1	0	1	1	0	0	5	0	0	0	5	750	2	22500	0		41005	120	Attackers are impaled on poisonous iron thorns.	Damage and have 20% chance to poison attackers. Last for 14s.				Bramble	Duration and damage increased.	Ivy	Chance to poison attackers.	Ivy added.	Iron Thorns	9
11006	Iron Thorns VI	0	3	-1	300	0	0	0	0	12000	1	0	1	1	0	0	5	0	0	0	5	870	2	38500	0		41006	240	Attackers are impaled on poisonous iron thorns.	Damage and have 30% chance to poison attackers. Last for 14s.				Bramble	Duration and damage increased.	Ivy	Chance to poison attackers.	Chance to poison increased.	Iron Thorns	9
11101	Ring of Frost I	0	0	1	300	333	0	0	0	500	1	0	1	1	10	0.003	5	1	1	0	6	60	2	1500	0		41101	5	A freezing ring of ice bursts from below, slowing enemies and causing frost damage.	Damage and slow all enemies for 4s in the area of effect. 6 yard range.									Ring of Frost	10
11102	Ring of Frost II	0	0	1	300	333	0	0	0	500	1	0	1	1	13	0.003	5	1	1	0	6	240	2	2200	0		41102	10	A freezing ring of ice bursts from below, slowing enemies and causing frost damage.	Damage and slow all enemies for 4s in the area of effect. 6 yard range.								Damage increased.	Ring of Frost	10
11103	Ring of Frost III	0	0	1	300	333	0	0	0	500	1	0	1	1	13	0.004	5	1	1	0	6	420	2	4000	0		41103	20	A freezing ring of ice bursts from below, slowing enemies and causing frost damage.	Damage and slow all enemies for 5s in the area of effect. 6 yard range.				Chilled	Damage and slow duration increased.			Chilled added. 	Ring of Frost	10
11104	Ring of Frost IV	0	0	1	300	333	0	0	0	500	1	0	1	1	13	0.004	5	1	1	0	6	600	2	12700	0		41104	60	A freezing ring of ice bursts from below, slowing enemies and causing frost damage.	Damage and slow all enemies for 5s in the area of effect. 6 yard range.				Chilled	Damage and slow duration increased.			Damage increased.	Ring of Frost	10
11105	Ring of Frost V	0	0	1	400	333	0	0	0	500	1	0	1	1	13	0.007	5	1	1	0	7	780	2	25000	0		41115+41105	120	A freezing ring of ice bursts from below, slowing enemies and causing frost damage. Provides increased flame element resistance.	Damage and slow all enemies for 5s in the area of effect. 7 yard range. Provides increased flame element resistance for 7s.				Chilled	Damage and slow duration increased.	Frostheart	Area of effect increased. Provides Flame element resistance for set duration.	Frostheart added. 	Ring of Frost	10
11106	Ring of Frost VI	0	0	1	400	333	0	0	0	500	1	0	1	1	13	0.007	5	1	1	0	7	900	2	37500	0		41116+41106	240	A freezing ring of ice bursts from below, slowing enemies and causing frost damage. Provides increased flame element resistance.	Damage and slow all enemies for 5s in the area of effect. 7 yard range. Provides increased flame element resistance for 10s.				Chilled	Damage and slow duration increased.	Frostheart	Area of effect increased. Provides Flame element resistance for set duration.	Resistance duration increased.	Ring of Frost	10
11201	Chi Prayer I	0	3	-1	400	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	150	2	1300	0		41201	5	Increases health regeneration rate, ideal for prolonged battles.	Provides large amount of healing for 15s.									Chi Prayer	11
11202	Chi Prayer II	0	3	-1	400	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	330	2	2400	0		41202	10	Increases health regeneration rate, ideal for prolonged battles.	Provides large amount of healing for 15s.								Base healing power increased.	Chi Prayer	11
11203	Chi Prayer III	0	3	-1	400	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	510	2	4800	0		41203	20	Increases health regeneration rate, ideal for prolonged battles.	Provides large amount of healing for 15s.				Meditation	Healing power increased.			Meditation added. 	Chi Prayer	11
11204	Chi Prayer IV	0	3	-1	400	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	690	2	9500	0		41204	60	Increases health regeneration rate, ideal for prolonged battles.	Provides large amount of healing for 15s.				Meditation	Healing power increased.			Base healing power increased.	Chi Prayer	11
11205	Chi Prayer V	0	3	-1	400	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	870	2	18500	0		41205	120	Increases health and energy regeneration rate, ideal for prolonged battles.	Provides large amount of healing and energy regeration for 15s.				Meditation	Healing power increased.	Inner Balance	Also regenerates energy.	Inner Balance added. 	Chi Prayer	11
11206	Chi Prayer VI	0	3	-1	400	300	0	0	500	15000	1	0	1	1	0	0	5	1	1	0	5	990	2	40500	0		41206	240	Increases health and energy regeneration rate, ideal for prolonged battles.	Provides large amount of healing and energy regeration for 15s.				Meditation	Healing power increased.	Inner Balance	Also regenerates energy.	Base healing power increased.	Chi Prayer	11
11301	Chi Mend I	0	3	-1	300	0	0	0	500	500	1	0	1	1	0	0	5	1	1	0	3	60	2	900	0		41301	5	Instantly recover health, for first aid in the heat of battle.	Heal for set amount.									Chi Mend	12
11302	Chi Mend II	0	3	-1	300	0	0	0	500	500	1	0	1	1	0	0	5	1	1	0	3	240	2	1600	0		41302	10	Instantly recover health, for first aid in the heat of battle.	Heal for set amount.								Base healing power increased.	Chi Mend	12
11303	Chi Mend III	0	3	-1	300	0	0	0	500	500	1	0	1	1	0	0	5	1	1	0	3	420	2	2700	0		41303	20	Instantly recover health and increase defense, for first aid in the heat of battle.	Heal for set amount and increase defense.				Resolve	Healing power increased. Also increases DEFENSE for set duration.			Resolve added. 	Chi Mend	12
11304	Chi Mend IV	0	3	-1	300	0	0	0	500	500	1	0	1	1	0	0	5	1	1	0	3	600	2	9500	0		41304	60	Instantly recover health and increase defense, for first aid in the heat of battle.	Heal for set amount and increase defense.				Resolve	Healing power increased. Also increases DEFENSE for set duration.			DEFENSE increased.	Chi Mend	12
11305	Chi Mend V	0	3	-1	300	0	0	0	500	500	1	0	1	1	0	0	5	1	1	0	3	780	2	20000	0		41305	120	Instantly recover health and increase defense, for first aid in the heat of battle. Provides increased movement speed.	Heal for set amount. Increase defense and movement speed.				Resolve	Healing power increased. Also increases DEFENSE for set duration.	Retreat	Movement speed increased for set duration.	Retreat added. 	Chi Mend	12
11306	Chi Mend VI	0	3	-1	300	0	0	0	500	500	1	0	1	1	0	0	5	1	1	0	3	900	2	38000	0		41306	240	Instantly recover health and increase defense, for first aid in the heat of battle. Provides increased movement speed.	Heal for set amount. Increase defense and movement speed.				Resolve	Healing power increased. Also increases DEFENSE for set duration.	Retreat	Movement speed increased for set duration.	Movement speed increased.	Chi Mend	12
11401	Steady Shot I	2	0	-1	300	0	733	20	500	100	1	0	1	1	20	0.002	6	0	0	0	20	30	4	700	0			5	A carefully aimed shot damages a single enemy. Charge for more damage.	Damage a single enemy. Charge for greater damage.									Steady Shot	13
11402	Steady Shot II	2	0	-1	300	0	733	20	500	100	1	0	1	1	25	0.002	6	0	0	0	20	210	4	1200	0			10	A carefully aimed shot damages a single enemy. Charge for more damage.	Damage a single enemy. Charge for greater damage.								Damage increased.	Steady Shot	13
11403	Steady Shot III	2	0	-1	300	0	733	20	500	100	1	0	1	1	25	0.002	6	0	0	0	20	390	4	2200	0		41413	20	A carefully aimed shot stuns and damages a single enemy. Charge for more damage.	Damage a single enemy and stun for 2s. Charge for greater damage.				Blinding	Enemies close to target will also be stunned.			Blinding added. 	Steady Shot	13
11404	Steady Shot IV	2	0	-1	300	0	733	20	500	100	1	0	1	1	25	0.002	6	0	0	0	20	570	4	9700	0		41414	60	A carefully aimed shot stuns and damages a single enemy. Charge for more damage.	Damage a single enemy and stun for 3s. Charge for greater damage.				Blinding	Enemies close to target will also be stunned.			Stun duration increased.	Steady Shot	13
11405	Steady Shot V	2	0	-1	300	0	733	20	500	100	1	0	1	1	25	0.002	6	0	0	0	20	750	4	17600	0		41415+41414	120	A carefully aimed shot stuns, damages and slows a single enemy. Charge for more damage.	Damage a single enemy, stun for 3s and slow for 5s. Charge for greater damage.				Blinding	Enemies close to target will also be stunned.	Knee Shot	Affected enemy is slowed.	Knee Shot added. 	Steady Shot	13
11406	Steady Shot VI	2	0	-1	300	0	733	20	500	100	1	0	1	1	25	0.002	6	0	0	0	20	870	4	29600	0		41416+41414	240	A carefully aimed shot stuns, damages and slows a single enemy. Charge for more damage.	Damage a single enemy, stun for 3s and slow for 6.5s. Charge for greater damage.				Blinding	Enemies close to target will also be stunned.	Knee Shot	Affected enemy is slowed.	Slow duration increased.	Steady Shot	13
12101	Dark Hunter I	0	3	-1	400	0	0	0	500	10000	1	0	1	1	0	0	6	1	1	0	6	30	4	700	0	42101		5	Channel the lethal precision of the Dark Huntsman to increase Skill and improve all Cunning abilities.	Increases SKILL for 10s. Increases Crit Chance and improves all Cunning abilities.									Dark Hunter	14
12102	Dark Hunter II	0	3	-1	400	0	0	0	500	10000	1	0	1	1	0	0	6	1	1	0	6	210	4	1200	0	42102		10	Channel the lethal precision of the Dark Huntsman to increase Skill and improve all Cunning abilities.	Increases SKILL for 10s. Increases Crit Chance and improves all Cunning abilities.								SKILL increased.	Dark Hunter	14
12103	Dark Hunter III	0	3	-1	400	0	0	0	500	10000	1	0	1	1	0	0	6	1	1	0	6	390	4	2200	0	42103		20	Channel the lethal precision of the Dark Huntsman to increase Skill, improve all Cunning abilities and increase Critical Damage.	Increases SKILL for 10s. Increases Crit Chance, Crit Damage and improves all Cunning abilities.				Merciless	Critical damage bonus is also increased.			Merciless added. 	Dark Hunter	14
12104	Dark Hunter IV	0	3	-1	400	0	0	0	500	10000	1	0	1	1	0	0	6	1	1	0	6	570	4	10500	0	42104		60	Channel the lethal precision of the Dark Huntsman to increase Skill, improve all Cunning abilities and increase Critical Damage.	Increases SKILL for 10s. Increases Crit Chance, Crit Damage and improves all Cunning abilities.				Merciless	Critical damage bonus is also increased.			Critical damage bonus increased.	Dark Hunter	14
12105	Dark Hunter V	0	3	-1	400	0	0	0	500	10000	1	0	1	1	0	0	6	1	1	0	6	750	4	21000	0	42105		120	Channel the lethal precision of the Dark Huntsman to increase Skill, improve all Cunning abilities, increase Critical Damage and heal over time.	Increases SKILL and healing for 10s. Increases Crit Chance, Crit Damage and improves all Cunning abilities.				Merciless	Critical damage bonus is also increased.	Tireless	Healing over time.	Tireless added. 	Dark Hunter	14
