INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
132							Graverobbers	Yokai thieves are defiling the resting place of revered elders. As you pass through the catacombs, do what you can to prevent further damage.	The Burial Chambers are secure. Preventing such defilement is a worthy act.	
133							Gashadokuro!	The gigantic skeleton of an ancient Oni warlord has risen, merging with a twisted Jinmenju tree. Defeat this abomination, and then bury the remains.	Gashadokuro is returned to the earth, and the jinmenju sleep again.	
141	Bloodfang Fort	Long abandoned, this temple ruin serves as a base for the Bloodfang Werewolf Clan. A large Yokai army is gathering here.	[#ff0000]Recommended level: 12	[#414141]Unlock Bloodfang Fort To:	[#ffffff]Access 3 More Missions & Raise Character Level Cap to 16.	[#414141]Complete Bloodroot Cemetery to reach this area.	Going Under	The Bloodfang Clan has occupied the Temple Ruins. A hidden entrance to the temple is accessible via the cellar. Secure the cellar entry and then return to me for further instruction.	The entry point is secure! I suggest you rest a while before further exploring the Temple Cellars.	12
142							Don't Dawdle	The temple cellar is a maze of twisted passages  and dead-ends. Beware; a terrible beast stalks the adjoining caves. Secure the Temple stairway, then report back.	Excellent - you have returned safely. Now I can join you in an assault on Chief Bloodfang!	
143							Big, Bad, Bloodfang	Ascend to the uppermost floor of the Temple, where Chief Bloodfang awaits justice. I will accompany you - let us take his head!	Chief Bloodfang has fallen, taking his clan with him. But others will rise - we cannot rest.	
151	Shivering Pines	An unearthly cold has settled over this ancient pine forest, freezing the nearby lake solid.	[#ff0000]Recommended level: 16	[#414141]Unlock Shivering Pines To:	[#ffffff]Access 3 More Missions & Raise Character Level Cap to 20.	[#414141]Complete Bloodfang Fort to reach this area.	Early Winter	An unnatural cold has fallen over Yomi Forest. Strange witches have been spotted constructing foul shrines in the area. Destroy the Yokai shrines, and eliminate the imp witches.	The cold has receded, but persists still. The ultimate source must still be out there. Stay vigilant!	16
152							Creeping Cold	Local fishermen have reported seeing ice men by the frozen bank of the river. It seems they’re gathering to move upon local shrines which protect Yomi village. Save the shrines at all costs.	The Shrines remain to protect Yomi from being swallowed by Winter. Fine work!	
153							Heart of Ice	The winter curse persists. The freezing energies have been traced to a small grove deep within the forest. Go there and destroy the source. End this bitter cold.	Defeating such power is a mighty feat, Hunter. I am awed! The Winter Curse has been ended.	
161	Yurei Caverns	Underground water has slowly carved out this immense hive of caverns. Many foul things have taken up residence.	[#ff0000]Recommended level: 20	[#414141]Unlock Yurei Caverns To:	[#ffffff]Access 3 More Missions & Raise Character Level Cap to 24.	[#414141]Complete Shivering Pines to reach this area.	Kidnappers!	Wood Sprites have long been allies against more sinister Yokai forces. Meet Chief Pokku, he believes his people are being abducted for some foul purpose. Help him track down the culprits.	It is good that you have exposed the Ghostclaw connection. They cannot be allowed to continue! 	20
162							A Little Problem	A remnant group of Ghostclaw Cultists has been abducting Wood Sprites. Chief Pokku has requested your help again. Investigate the Ghostclaw Compound  and free any captive Sprites.	The Chief is most pleased with the rescue of his people, though he fears more still are in danger. 	
163							The Risen One	The Ghostclaw have retreated further into their caverns; pursue them and exterminate their new leader. Chief Pokku will assist  you.	You have honored the Order by helping our allies and thwarting the rise of a new Demon King.  	
171	Melon Fields	The coastal edge of the forest is home to a small farming community, often beseiged by Yokai.	[#ff0000] 	[#414141] 	[#ffffff]Coming Soon!	[#414141]Complete Yurei Caverns to reach this area.	A Strange Crop	We’ve had curious reports from local farmers that their melon crops have become a little... hostile. Head to the farms near the edge of the cemetery and start harvesting!	Possessed fruit! I've never seen the like. Some new Yokai plot must be behind this...	24
172			[#ff0000]Recommended level: 24	[#414141]Unlock Melon Fields To:	[#ffffff]Access 3 More Missions & Raise Character Level Cap to 28.		The Boneyard	The Crackbone Yokai Clan have emerged from the crypts beneath the Boneyards with an army of ancient bone warriors. Attack them head, and slow their march while we locate the new Demon King.	How dare the Crackbone desecrate the remains of our ancestors! We must cut the head from this new beast.	
173							Reap As You Sow	A nearby village fears being overwhelmed by possessed fruits. Offer what assistance you can in defense of the village; hopefully you can put an end to this strange invasion.	You have scattered the Crackbone clan to the winds and defeated their Demon King. Now they join the dead they so cruelly used. 	
181	Temple Depths	The catacombs that run under the temple adjoin a series of deep caverns. It's rumored some of these run even deeper into the earth below.	[#ff0000] 	[#414141] 	[#ffffff]Coming Soon!	[#414141]Complete Melon Fields to reach this area.	Knock, Knock	The temple has new tenants... The Magjaw Tribe. It's rare to see these deep cave dwellers in this area, especially in such large numbers. Hit them hard and fast - flush out the leaders!	Excellent work. I'm sure that shook them up! Let's see if it flushes out the Magjaw leaders. 	28
182			[#ff0000]Recommended level: 28	[#414141]Unlock Temple Depths To:	[#ffffff]Access 3 More Missions & Raise Character Level Cap to 32.		Missing in Action	Hunter Jude has failed to report. Go to his last known location, within the temple cellars. You can access the cellars via Magjaw tunnels. Rescue Jude, if possible.	Thank you for locating Jude. We have returned him to Akane Lodge, where his wounds will be tended. 	
183							What Lies Below	There is a large Magjaw tunnel system adjoining a deeper region of the Temple Catacombs. If we close it off, it'll block any further invaders. 	The Magjaw have been repelled, but not defeated. Perhaps we ought to take the fight to them, next time. 	
